Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,27.85164532251656,25,20
1.0,28.470150483772162,25,20
1.5,28.45726495957933,25,20
2.0,28.483036007964984,25,20
2.5,28.49592153215781,25,20
3.0,28.49592153215781,25,20
3.5,28.49592153215781,25,20
4.0,28.470150483772162,25,20
4.5,28.483036007964984,25,20
5.0,28.470150483772162,25,20
5.5,28.405722862808037,25,20
6.0,28.483036007964984,25,20
6.5,28.49592153215781,25,20
7.0,28.483036007964984,25,20
7.5,28.41860838700086,25,20
8.0,28.483036007964984,25,20
8.5,28.483036007964984,25,20
9.0,28.49592153215781,25,20
9.5,28.44437943538651,25,20
10.0,28.45726495957933,25,20
10.5,28.470150483772162,25,20
11.0,28.44437943538651,25,20
11.5,28.470150483772162,25,20
12.0,28.392837338615205,25,20
12.5,28.44437943538651,25,20
13.0,28.379951814422384,25,20
13.5,28.431493911193684,25,20
14.0,28.36706629022956,25,20
14.5,28.36706629022956,25,20
15.0,28.379951814422384,25,20
15.5,28.41860838700086,25,20
16.0,28.392837338615205,40.0,20
16.5,28.044928185408935,40.0,20
17.0,28.05781370960176,40.0,20
17.5,28.05781370960176,40.0,20
18.0,28.05781370960176,40.0,20
18.5,28.07069923379458,40.0,20
19.0,28.05781370960176,40.0,20
19.5,28.096470282180235,40.0,20
20.0,28.083584757987413,40.0,20
20.5,28.083584757987413,40.0,20
21.0,28.10935580637306,40.0,20
21.5,28.07069923379458,40.0,20
22.0,28.096470282180235,40.0,33.0
22.5,28.28975314507261,40.0,33.0
23.0,28.31552419345826,40.0,33.0
23.5,28.31552419345826,40.0,33.0
24.0,28.32840971765108,40.0,33.0
24.5,28.341295241843913,40.0,33.0
25.0,28.354180766036734,40.0,33.0
25.5,28.36706629022956,40.0,33.0
26.0,28.36706629022956,40.0,33.0
26.5,28.392837338615205,40.0,33.0
27.0,28.44437943538651,40.0,33.0
27.5,28.45726495957933,40.0,33.0
28.0,28.483036007964984,40.0,33.0
28.5,28.49592153215781,40.0,33.0
29.0,28.521692580543455,40.0,33.0
29.5,28.534578104736287,40.0,33.0
30.0,28.57323467731476,40.0,33.0
30.5,28.611891249893233,40.0,33.0
31.0,28.611891249893233,40.0,33.0
31.5,28.624776774086058,40.0,33.0
32.0,28.676318870857358,40.0,33.0
32.5,28.740746491821483,40.0,33.0
33.0,28.753632016014308,40.0,33.0
33.5,28.766517540207133,40.0,33.0
34.0,28.818059636978433,40.0,33.0
34.5,28.85671620955691,40.0,33.0
35.0,28.882487257942557,40.0,33.0
35.5,28.895372782135382,40.0,33.0
36.0,28.908258306328204,40.0,33.0
36.5,28.98557145148516,40.0,33.0
37.0,29.011342499870807,40.0,33.0
37.5,29.037113548256453,40.0,33.0
38.0,29.062884596642107,40.0,33.0
38.5,29.140197741799057,40.0,33.0
39.0,29.12731221760623,40.0,33.0
39.5,29.165968790184703,40.0,33.0
40.0,29.217510886956006,40.0,19.0
40.5,29.037113548256453,40.0,19.0
41.0,29.11442669341341,40.0,19.0
41.5,29.140197741799057,40.0,19.0
42.0,29.140197741799057,40.0,19.0
42.5,29.140197741799057,40.0,19.0
43.0,29.20462536276318,40.0,19.0
43.5,29.230396411148828,40.0,19.0
44.0,29.25616745953448,21.0,19.0
44.5,29.64273318531923,21.0,19.0
45.0,29.64273318531923,21.0,19.0
45.5,29.655618709512055,21.0,19.0
46.0,29.655618709512055,21.0,19.0
46.5,29.62984766112641,21.0,19.0
47.0,29.64273318531923,21.0,19.0
47.5,29.64273318531923,21.0,19.0
48.0,29.565420040162284,21.0,19.0
48.5,29.62984766112641,21.0,19.0
49.0,29.604076612740755,21.0,19.0
49.5,29.62984766112641,21.0,19.0
50.0,29.59119108854793,21.0,19.0
50.5,29.53964899177663,21.0,19.0
51.0,29.526763467583805,21.0,19.0
51.5,29.526763467583805,21.0,19.0
52.0,29.526763467583805,21.0,19.0
52.5,29.488106895005327,21.0,19.0
53.0,29.475221370812505,21.0,19.0
53.5,29.423679274041202,21.0,19.0
54.0,29.397908225655556,21.0,19.0
54.5,29.397908225655556,21.0,19.0
55.0,29.33348060469143,21.0,19.0
55.5,29.307709556305785,21.0,19.0
56.0,29.307709556305785,21.0,19.0
56.5,29.269052983727306,21.0,19.0
57.0,29.269052983727306,21.0,19.0
57.5,29.25616745953448,21.0,19.0
58.0,29.191739838570356,21.0,19.0
58.5,29.165968790184703,21.0,19.0
59.0,29.12731221760623,21.0,19.0
59.5,29.140197741799057,21.0,19.0
60.0,29.11442669341341,21.0,19.0
60.5,29.07577012083493,21.0,19.0
61.0,29.024228024063632,21.0,19.0
61.5,29.011342499870807,21.0,19.0
62.0,28.998456975677982,21.0,19.0
62.5,28.98557145148516,21.0,19.0
63.0,28.895372782135382,21.0,19.0
63.5,28.895372782135382,21.0,19.0
64.0,28.85671620955691,21.0,19.0
64.5,28.766517540207133,21.0,19.0
65.0,28.72786096762866,21.0,19.0
65.5,28.740746491821483,21.0,19.0
66.0,28.753632016014308,21.0,19.0
66.5,28.689204395050183,21.0,19.0
67.0,28.689204395050183,21.0,19.0
67.5,28.689204395050183,21.0,19.0
68.0,28.637662298278883,21.0,19.0
68.5,28.624776774086058,21.0,19.0
69.0,28.54746362892911,21.0,19.0
69.5,28.57323467731476,21.0,19.0
70.0,28.611891249893233,21.0,19.0
70.5,28.611891249893233,21.0,19.0
71.0,28.624776774086058,21.0,19.0
71.5,28.611891249893233,21.0,19.0
72.0,28.59900572570041,21.0,19.0
72.5,28.54746362892911,40.0,19.0
73.0,28.225325524108484,40.0,19.0
73.5,28.225325524108484,40.0,19.0
74.0,28.23821104830131,40.0,19.0
