Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.83917641150765,25,20
1.0,23.0195737502072,25,20
1.5,22.99380270182155,25,20
2.0,23.006688226014376,25,20
2.5,23.032459274400026,25,20
3.0,23.0195737502072,25,20
3.5,23.04534479859285,25,20
4.0,23.0195737502072,25,20
4.5,23.032459274400026,25,20
5.0,23.058230322785676,25,20
5.5,23.032459274400026,40.0,20
6.0,23.058230322785676,40.0,20
6.5,23.04534479859285,40.0,20
7.0,23.084001371171325,40.0,20
7.5,23.04534479859285,40.0,20
8.0,23.084001371171325,40.0,20
8.5,23.084001371171325,40.0,20
9.0,23.084001371171325,40.0,38.0
9.5,23.2257421372924,40.0,38.0
10.0,23.2257421372924,40.0,38.0
10.5,23.238627661485225,40.0,38.0
11.0,23.2257421372924,40.0,38.0
11.5,23.25151318567805,40.0,38.0
12.0,23.315940806642175,40.0,38.0
12.5,23.315940806642175,40.0,38.0
13.0,23.341711855027825,40.0,38.0
13.5,23.328826330835,40.0,38.0
14.0,23.341711855027825,40.0,38.0
14.5,23.35459737922065,40.0,38.0
15.0,23.35459737922065,40.0,38.0
15.5,23.40613947599195,40.0,38.0
16.0,23.45768157276325,40.0,38.0
16.5,23.470567096956074,40.0,38.0
17.0,23.470567096956074,40.0,38.0
17.5,23.4834526211489,40.0,38.0
18.0,23.496338145341724,40.0,38.0
18.5,23.547880242113024,40.0,38.0
19.0,23.599422338884324,40.0,38.0
19.5,23.599422338884324,40.0,38.0
20.0,23.625193387269974,40.0,38.0
20.5,23.66384995984845,40.0,38.0
21.0,23.71539205661975,40.0,38.0
21.5,23.728277580812573,40.0,38.0
22.0,23.754048629198223,40.0,38.0
22.5,23.805590725969523,40.0,38.0
23.0,23.857132822740823,40.0,38.0
23.5,23.857132822740823,40.0,38.0
24.0,23.908674919512123,40.0,38.0
24.5,23.934445967897773,40.0,38.0
25.0,23.985988064669073,40.0,38.0
25.5,23.985988064669073,40.0,38.0
26.0,24.011759113054723,40.0,38.0
26.5,24.076186734018847,40.0,38.0
27.0,24.101957782404497,40.0,38.0
27.5,24.114843306597322,40.0,38.0
28.0,24.127728830790147,40.0,38.0
28.5,24.217927500139922,40.0,38.0
29.0,24.256584072718397,40.0,38.0
29.5,24.256584072718397,40.0,38.0
30.0,24.32101169368252,40.0,38.0
30.5,24.359668266260996,40.0,38.0
31.0,24.37255379045382,40.0,38.0
31.5,24.411210363032296,40.0,38.0
32.0,24.462752459803596,40.0,38.0
32.5,24.50140903238207,40.0,38.0
33.0,24.50140903238207,40.0,38.0
33.5,24.57872217753902,40.0,38.0
34.0,24.617378750117496,40.0,38.0
34.5,24.65603532269597,40.0,38.0
35.0,24.65603532269597,40.0,38.0
35.5,24.720462943660095,40.0,38.0
36.0,24.75911951623857,40.0,38.0
36.5,24.772005040431395,40.0,38.0
37.0,24.81066161300987,40.0,38.0
37.5,24.875089233973995,40.0,38.0
38.0,24.88797475816682,40.0,38.0
38.5,24.900860282359645,40.0,38.0
39.0,24.900860282359645,40.0,38.0
39.5,24.99105895170942,40.0,38.0
40.0,25.01683000009507,40.0,38.0
40.5,25.01683000009507,40.0,38.0
41.0,25.029715524287894,40.0,38.0
41.5,25.055486572673548,40.0,38.0
42.0,25.10702866944484,40.0,38.0
42.5,25.132799717830494,40.0,38.0
43.0,25.14568524202332,40.0,38.0
43.5,25.184341814601797,40.0,38.0
44.0,25.248769435565922,40.0,38.0
44.5,25.261654959758744,40.0,38.0
45.0,25.27454048395157,40.0,38.0
45.5,25.32608258072287,40.0,38.0
46.0,25.35185362910852,40.0,38.0
46.5,25.390510201686993,40.0,38.0
47.0,25.390510201686993,40.0,38.0
47.5,25.416281250072643,40.0,38.0
48.0,25.416281250072643,40.0,38.0
48.5,25.454937822651118,40.0,38.0
49.0,25.49359439522959,40.0,38.0
49.5,25.532250967808068,40.0,38.0
50.0,25.545136492000893,40.0,38.0
50.5,25.532250967808068,40.0,38.0
51.0,25.583793064579368,40.0,38.0
51.5,25.63533516135067,40.0,38.0
52.0,25.661106209736317,40.0,38.0
52.5,25.661106209736317,40.0,38.0
53.0,25.686877258121964,40.0,38.0
53.5,25.738419354893267,40.0,38.0
54.0,25.777075927471742,40.0,38.0
54.5,25.789961451664567,40.0,38.0
55.0,25.802846975857392,40.0,38.0
55.5,25.789961451664567,40.0,38.0
56.0,25.789961451664567,40.0,38.0
56.5,25.841503548435867,40.0,38.0
57.0,25.89304564520717,29.0,38.0
57.5,25.90593116939999,40.0,38.0
58.0,25.90593116939999,40.0,38.0
58.5,25.918816693592817,40.0,38.0
59.0,25.918816693592817,40.0,38.0
59.5,25.918816693592817,40.0,38.0
60.0,25.93170221778564,40.0,38.0
60.5,26.009015362942588,40.0,38.0
61.0,25.98324431455694,40.0,38.0
61.5,26.047671935521066,40.0,38.0
62.0,26.047671935521066,40.0,38.0
62.5,26.03478641132824,40.0,29.0
63.0,26.06055745971389,40.0,29.0
63.5,26.073442983906713,40.0,29.0
64.0,26.11209955648519,40.0,29.0
64.5,26.137870604870837,40.0,29.0
65.0,26.176527177449316,40.0,29.0
65.5,26.176527177449316,40.0,29.0
66.0,26.176527177449316,40.0,29.0
66.5,26.215183750027794,40.0,29.0
67.0,26.215183750027794,40.0,29.0
67.5,26.228069274220616,40.0,29.0
68.0,26.27961137099192,40.0,29.0
68.5,26.266725846799087,40.0,29.0
69.0,26.27961137099192,40.0,29.0
69.5,26.305382419377565,40.0,29.0
70.0,26.305382419377565,40.0,29.0
70.5,26.305382419377565,40.0,29.0
71.0,26.305382419377565,40.0,29.0
71.5,26.31826794357039,40.0,29.0
72.0,26.305382419377565,40.0,29.0
72.5,26.31826794357039,40.0,29.0
73.0,26.33115346776321,40.0,29.0
73.5,26.356924516148865,40.0,29.0
74.0,26.36981004034169,40.0,29.0
74.5,26.382695564534515,40.0,29.0
75.0,26.40846661292017,40.0,29.0
