Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.310869919601828,25,20
1.0,22.555694879265502,25,20
1.5,22.555694879265502,25,20
2.0,22.568580403458327,25,20
2.5,22.568580403458327,25,20
3.0,22.568580403458327,25,20
3.5,22.568580403458327,25,20
4.0,22.568580403458327,25,20
4.5,22.581465927651152,25,20
5.0,22.594351451843977,25,20
5.5,22.568580403458327,25,20
6.0,22.581465927651152,25,20
6.5,22.581465927651152,25,20
7.0,22.594351451843977,25,20
7.5,22.581465927651152,25,20
8.0,22.607236976036802,25,20
8.5,22.581465927651152,25,20
9.0,22.633008024422452,25,20
9.5,22.645893548615277,29.0,20
10.0,22.645893548615277,29.0,20
10.5,22.671664597000927,29.0,20
11.0,22.6587790728081,29.0,20
11.5,22.68455012119375,29.0,20
12.0,22.68455012119375,29.0,20
12.5,22.68455012119375,29.0,20
13.0,22.697435645386577,29.0,20
13.5,22.697435645386577,29.0,20
14.0,22.697435645386577,29.0,20
14.5,22.7103211695794,29.0,26.0
15.0,22.83917641150765,29.0,26.0
15.5,22.852061935700476,29.0,26.0
16.0,22.8649474598933,29.0,26.0
16.5,22.929375080857426,29.0,26.0
17.0,22.955146129243076,29.0,26.0
17.5,22.955146129243076,29.0,26.0
18.0,22.955146129243076,29.0,26.0
18.5,22.980917177628726,29.0,26.0
19.0,22.980917177628726,29.0,26.0
19.5,23.058230322785676,29.0,26.0
20.0,23.058230322785676,29.0,26.0
20.5,23.084001371171325,29.0,26.0
21.0,23.084001371171325,29.0,26.0
21.5,23.084001371171325,29.0,26.0
22.0,23.135543467942625,29.0,26.0
22.5,23.161314516328275,29.0,26.0
23.0,23.1742000405211,29.0,26.0
23.5,23.212856613099575,29.0,26.0
24.0,23.212856613099575,29.0,26.0
24.5,23.238627661485225,29.0,26.0
25.0,23.264398709870875,29.0,26.0
25.5,23.341711855027825,29.0,26.0
26.0,23.341711855027825,29.0,26.0
26.5,23.341711855027825,29.0,26.0
27.0,23.3803684276063,29.0,26.0
27.5,23.444796048570424,29.0,26.0
28.0,23.45768157276325,29.0,26.0
28.5,23.470567096956074,29.0,26.0
29.0,23.50922366953455,29.0,26.0
29.5,23.5349947179202,29.0,26.0
30.0,23.599422338884324,29.0,26.0
30.5,23.599422338884324,29.0,26.0
31.0,23.650964435655624,29.0,26.0
31.5,23.650964435655624,29.0,26.0
32.0,23.71539205661975,29.0,26.0
32.5,23.71539205661975,29.0,26.0
33.0,23.7411631050054,29.0,26.0
33.5,23.76693415339105,29.0,26.0
34.0,23.818476250162348,29.0,26.0
34.5,23.857132822740823,29.0,26.0
35.0,23.882903871126473,29.0,26.0
35.5,23.934445967897773,29.0,26.0
36.0,23.973102540476248,29.0,26.0
36.5,23.985988064669073,29.0,26.0
37.0,23.998873588861898,29.0,26.0
37.5,24.089072258211672,29.0,26.0
38.0,24.114843306597322,29.0,26.0
38.5,24.127728830790147,29.0,26.0
39.0,24.127728830790147,29.0,26.0
39.5,24.205041975947097,29.0,26.0
40.0,24.243698548525572,29.0,26.0
40.5,24.243698548525572,29.0,26.0
41.0,24.29524064529687,29.0,26.0
41.5,24.34678274206817,29.0,26.0
42.0,24.37255379045382,29.0,26.0
42.5,24.385439314646646,29.0,26.0
43.0,24.462752459803596,29.0,26.0
43.5,24.514294556574896,29.0,26.0
44.0,24.514294556574896,29.0,26.0
44.5,24.565836653346196,29.0,26.0
45.0,24.63026427431032,29.0,26.0
45.5,24.63026427431032,35.0,26.0
46.0,24.68180637108162,35.0,26.0
46.5,24.73334846785292,35.0,26.0
47.0,24.75911951623857,35.0,26.0
47.5,24.772005040431395,35.0,26.0
48.0,24.78489056462422,35.0,26.0
48.5,24.823547137202695,35.0,26.0
49.0,24.875089233973995,35.0,26.0
49.5,24.88797475816682,35.0,26.0
50.0,24.91374580655247,35.0,26.0
50.5,24.93951685493812,35.0,26.0
51.0,25.01683000009507,35.0,26.0
51.5,25.01683000009507,35.0,26.0
52.0,25.01683000009507,35.0,26.0
52.5,25.06837209686637,35.0,26.0
53.0,25.10702866944484,35.0,26.0
53.5,25.14568524202332,35.0,30.0
54.0,25.14568524202332,35.0,30.0
54.5,25.158570766216144,35.0,30.0
55.0,25.22299838718027,35.0,30.0
55.5,25.210112862987444,35.0,30.0
56.0,25.261654959758744,35.0,30.0
56.5,25.27454048395157,35.0,30.0
57.0,25.27454048395157,35.0,30.0
57.5,25.32608258072287,35.0,30.0
58.0,25.36473915330134,35.0,30.0
58.5,25.390510201686993,35.0,30.0
59.0,25.403395725879818,35.0,30.0
59.5,25.416281250072643,35.0,30.0
60.0,25.467823346843943,35.0,30.0
60.5,25.50647991942242,35.0,30.0
61.0,25.532250967808068,35.0,30.0
61.5,25.532250967808068,35.0,30.0
62.0,25.532250967808068,35.0,30.0
62.5,25.596678588772193,35.0,30.0
63.0,25.648220685543492,35.0,30.0
63.5,25.648220685543492,35.0,30.0
64.0,25.661106209736317,35.0,30.0
64.5,25.661106209736317,35.0,30.0
65.0,25.712648306507617,35.0,30.0
65.5,25.738419354893267,35.0,30.0
66.0,25.777075927471742,35.0,30.0
66.5,25.789961451664567,35.0,30.0
67.0,25.802846975857392,35.0,30.0
67.5,25.802846975857392,35.0,30.0
68.0,25.828618024243045,35.0,30.0
68.5,25.815732500050213,35.0,30.0
69.0,25.854389072628692,35.0,30.0
69.5,25.89304564520717,35.0,30.0
70.0,25.918816693592817,35.0,30.0
70.5,25.918816693592817,35.0,30.0
71.0,25.918816693592817,35.0,30.0
71.5,25.918816693592817,35.0,30.0
72.0,25.944587741978463,35.0,30.0
72.5,25.98324431455694,35.0,30.0
73.0,26.009015362942588,35.0,30.0
73.5,26.02190088713542,35.0,30.0
74.0,26.047671935521066,35.0,30.0
74.5,26.047671935521066,35.0,30.0
75.0,26.03478641132824,35.0,30.0
75.5,26.047671935521066,35.0,30.0
76.0,26.06055745971389,35.0,30.0
76.5,26.073442983906713,35.0,30.0
77.0,26.137870604870837,35.0,30.0
77.5,26.137870604870837,35.0,30.0
78.0,26.15075612906367,35.0,30.0
78.5,26.176527177449316,35.0,30.0
79.0,26.176527177449316,35.0,30.0
79.5,26.176527177449316,35.0,30.0
80.0,26.202298225834962,35.0,30.0
80.5,26.215183750027794,35.0,30.0
81.0,26.27961137099192,35.0,30.0
81.5,26.305382419377565,35.0,30.0
82.0,26.27961137099192,35.0,30.0
82.5,26.31826794357039,35.0,30.0
83.0,26.305382419377565,35.0,30.0
83.5,26.356924516148865,35.0,30.0
84.0,26.382695564534515,35.0,30.0
84.5,26.40846661292017,35.0,30.0
85.0,26.434237661305815,35.0,30.0
85.5,26.434237661305815,35.0,30.0
86.0,26.472894233884293,35.0,30.0
86.5,26.49866528226994,35.0,30.0
87.0,26.563092903234065,35.0,30.0
87.5,26.537321854848418,35.0,30.0
88.0,26.563092903234065,35.0,30.0
88.5,26.563092903234065,35.0,30.0
89.0,26.601749475812543,35.0,30.0
89.5,26.601749475812543,35.0,30.0
90.0,26.62752052419819,35.0,30.0
90.5,26.614635000005364,35.0,30.0
91.0,26.653291572583836,35.0,30.0
91.5,26.614635000005364,35.0,30.0
92.0,26.653291572583836,35.0,30.0
92.5,26.614635000005364,35.0,30.0
93.0,26.614635000005364,35.0,30.0
93.5,26.653291572583836,35.0,30.0
94.0,26.58886395161971,35.0,30.0
94.5,26.601749475812543,35.0,30.0
95.0,26.640406048391014,35.0,30.0
95.5,26.666177096776668,35.0,30.0
96.0,26.691948145162314,35.0,30.0
96.5,26.691948145162314,35.0,30.0
97.0,26.70483366935514,35.0,30.0
97.5,26.691948145162314,35.0,30.0
98.0,26.71771919354796,35.0,30.0
98.5,26.71771919354796,35.0,30.0
99.0,26.743490241933614,35.0,30.0
99.5,26.730604717740793,35.0,30.0
100.0,26.70483366935514,35.0,30.0
100.5,26.743490241933614,35.0,30.0
101.0,26.75637576612644,35.0,30.0
101.5,26.782146814512085,35.0,30.0
102.0,26.782146814512085,35.0,30.0
102.5,26.769261290319264,35.0,30.0
103.0,26.80791786289774,35.0,30.0
103.5,26.83368891128339,35.0,30.0
104.0,26.820803387090564,35.0,30.0
104.5,26.820803387090564,35.0,30.0
105.0,26.83368891128339,35.0,30.0
105.5,26.83368891128339,35.0,30.0
106.0,26.820803387090564,35.0,30.0
106.5,26.859459959669042,35.0,30.0
107.0,26.88523100805469,35.0,30.0
107.5,26.911002056440335,35.0,30.0
108.0,26.911002056440335,35.0,30.0
108.5,26.949658629018813,35.0,30.0
109.0,26.949658629018813,35.0,30.0
109.5,26.949658629018813,35.0,30.0
110.0,26.949658629018813,35.0,30.0
110.5,26.949658629018813,35.0,30.0
111.0,26.97542967740446,35.0,20.0
111.5,26.84657443547621,35.0,20.0
112.0,26.872345483861864,35.0,20.0
112.5,26.898116532247514,35.0,20.0
113.0,26.872345483861864,35.0,20.0
113.5,26.84657443547621,35.0,20.0
114.0,26.898116532247514,21.0,20.0
114.5,27.091399395139888,21.0,20.0
115.0,27.11717044352554,21.0,20.0
115.5,27.078513870947063,21.0,20.0
116.0,27.078513870947063,21.0,20.0
116.5,27.078513870947063,21.0,20.0
117.0,26.949658629018813,21.0,20.0
117.5,26.949658629018813,21.0,20.0
118.0,26.923887580633167,21.0,20.0
118.5,26.859459959669042,21.0,20.0
119.0,26.820803387090564,21.0,20.0
119.5,26.769261290319264,21.0,20.0
120.0,26.691948145162314,21.0,20.0
120.5,26.691948145162314,21.0,20.0
121.0,26.57597842742689,21.0,20.0
121.5,26.55020737904124,21.0,20.0
122.0,26.44712318549864,21.0,20.0
122.5,26.42135213711299,21.0,20.0
123.0,26.395581088727337,21.0,20.0
123.5,26.305382419377565,21.0,20.0
124.0,26.266725846799087,21.0,20.0
124.5,26.18941270164214,21.0,20.0
125.0,26.16364165325649,21.0,20.0
125.5,26.11209955648519,21.0,20.0
126.0,26.06055745971389,21.0,20.0
126.5,25.970358790364116,21.0,20.0
127.0,25.944587741978463,21.0,20.0
127.5,25.918816693592817,21.0,20.0
128.0,25.815732500050213,21.0,20.0
128.5,25.789961451664567,21.0,20.0
129.0,25.725533830700442,21.0,20.0
129.5,25.62244963715784,21.0,20.0
130.0,25.661106209736317,21.0,20.0
130.5,25.545136492000893,21.0,20.0
131.0,25.532250967808068,21.0,20.0
131.5,25.480708871036768,21.0,20.0
132.0,25.416281250072643,21.0,20.0
132.5,25.403395725879818,21.0,20.0
133.0,25.300311532337215,21.0,20.0
133.5,25.287426008144394,21.0,20.0
134.0,25.261654959758744,21.0,20.0
134.5,25.19722733879462,21.0,20.0
135.0,25.14568524202332,21.0,20.0
135.5,25.081257621059194,21.0,20.0
136.0,25.06837209686637,21.0,20.0
136.5,25.01683000009507,21.0,20.0
137.0,24.99105895170942,21.0,20.0
137.5,24.91374580655247,21.0,20.0
138.0,24.900860282359645,21.0,20.0
138.5,24.86220370978117,21.0,20.0
139.0,24.78489056462422,21.0,20.0
139.5,24.720462943660095,21.0,20.0
140.0,24.75911951623857,21.0,20.0
140.5,24.65603532269597,21.0,20.0
141.0,24.643149798503146,21.0,20.0
141.5,24.617378750117496,21.0,20.0
142.0,24.617378750117496,21.0,20.0
142.5,24.55295112915337,21.0,20.0
143.0,24.50140903238207,21.0,20.0
143.5,24.50140903238207,21.0,20.0
144.0,24.39832483883947,21.0,20.0
144.5,24.411210363032296,21.0,20.0
145.0,24.385439314646646,21.0,20.0
145.5,24.37255379045382,21.0,20.0
146.0,24.37255379045382,21.0,20.0
146.5,24.256584072718397,21.0,20.0
147.0,24.256584072718397,21.0,20.0
147.5,24.243698548525572,21.0,20.0
148.0,24.205041975947097,21.0,20.0
148.5,24.179270927561447,21.0,20.0
149.0,24.101957782404497,21.0,20.0
149.5,24.089072258211672,21.0,20.0
150.0,24.101957782404497,21.0,20.0
