Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,18.518260355376587,25,20
1.0,18.99496447996376,25,20
1.5,19.252956405348513,25,20
2.0,19.51528787872917,25,20
2.5,19.93524423358264,25,20
3.0,20.076320136803268,25,20
3.5,20.20759186095458,25,20
4.0,20.314062551398543,25,20
4.5,20.380713141612887,25,20
5.0,20.210259367072368,25,20
5.5,20.045192940221604,25,20
6.0,20.07822180664641,25,20
6.5,20.06827714088591,25,20
7.0,20.08943481445922,25,20
7.5,20.27563967441248,25,20
8.0,20.152113663581325,25,20
8.5,20.126206182725735,25,20
9.0,20.24240213842811,25,20
9.5,20.169046818022235,25,20
10.0,20.174736184799404,25,20
10.5,20.317778979817135,25,20
11.0,20.215882602951442,25,20
11.5,20.069105217139466,25,20
12.0,20.007942387228923,25,20
12.5,20.000209748252022,25,20
13.0,20.045435235934377,25,20
13.5,20.15872290439856,25,20
14.0,20.113253716714624,25,20
14.5,20.126870728670795,25,20
