Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,18.483869234332815,25,20
1.0,18.690037621418014,25,20
1.5,18.67715209722519,25,20
2.0,18.67715209722519,25,20
2.5,18.690037621418014,25,20
3.0,18.664266573032364,25,20
3.5,18.690037621418014,25,20
4.0,18.70292314561084,25,20
4.5,18.70292314561084,25,20
5.0,18.67715209722519,25,20
5.5,18.690037621418014,25,20
6.0,18.690037621418014,25,20
6.5,18.70292314561084,25,20
7.0,18.70292314561084,25,20
7.5,18.70292314561084,25,20
8.0,18.741579718189314,25,20
8.5,18.767350766574964,25,20
9.0,18.793121814960614,25,20
9.5,18.793121814960614,25,20
10.0,18.818892863346264,25,20
10.5,18.844663911731914,25,20
11.0,18.83177838753909,25,20
11.5,18.844663911731914,25,20
12.0,18.88332048431039,25,20
12.5,18.921977056888863,25,20
13.0,18.947748105274513,25,20
13.5,18.96063362946734,25,20
14.0,19.025061250431463,25,20
14.5,19.012175726238638,25,20
15.0,19.050832298817113,25,20
15.5,19.063717823009938,25,20
16.0,19.076603347202763,25,20
16.5,19.102374395588413,25,20
17.0,19.102374395588413,25,20
17.5,19.166802016552538,25,20
18.0,19.205458589131013,25,20
18.5,19.192573064938188,25,20
19.0,19.218344113323838,25,20
19.5,19.244115161709487,25,20
20.0,19.308542782673612,25,20
20.5,19.334313831059262,25,22.43
21.0,19.347199355252087,25,22.43
21.5,19.385855927830562,25,22.43
22.0,19.424512500409037,25,22.43
22.5,19.476054597180337,25,22.43
23.0,19.46316907298751,25,22.43
23.5,19.476054597180337,25,22.43
24.0,19.48894012137316,25,22.43
24.5,19.54048221814446,25,22.43
25.0,19.604909839108586,25,22.43
25.5,19.604909839108586,25,22.43
26.0,19.630680887494236,25,22.43
26.5,19.656451935879886,25,22.43
27.0,19.66933746007271,25,22.43
27.5,19.733765081036836,25,22.43
28.0,19.74665060522966,25,22.43
28.5,19.79819270200096,22.56,22.43
29.0,19.84973479877226,22.56,22.43
29.5,19.888391371350735,22.56,22.43
30.0,19.888391371350735,22.56,22.43
30.5,19.914162419736385,22.56,22.43
31.0,19.97859004070051,22.56,22.43
31.5,19.991475564893335,22.56,22.43
32.0,20.00436108908616,22.56,22.43
32.5,20.05590318585746,22.56,22.43
33.0,20.10744528262876,22.56,22.43
33.5,20.120330806821585,22.56,22.43
34.0,20.120330806821585,22.56,22.43
34.5,20.120330806821585,22.56,22.43
35.0,20.171872903592885,22.56,22.43
35.5,20.21052947617136,22.56,22.43
36.0,20.223415000364184,22.56,22.43
36.5,20.23630052455701,22.56,22.43
37.0,20.249186048749834,22.56,22.43
37.5,20.249186048749834,22.56,22.43
38.0,20.249186048749834,22.56,22.43
38.5,20.31361366971396,22.56,22.43
39.0,20.352270242292434,22.56,22.43
39.5,20.36515576648526,22.56,22.43
40.0,20.378041290678084,22.56,22.43
40.5,20.378041290678084,22.56,22.43
41.0,20.41669786325656,22.56,22.43
41.5,20.44246891164221,22.56,22.43
42.0,20.481125484220684,22.56,22.43
42.5,20.506896532606333,22.56,22.43
43.0,20.506896532606333,22.56,22.43
43.5,20.532667580991983,22.56,22.43
44.0,20.54555310518481,22.56,22.43
44.5,20.57132415357046,22.56,22.43
45.0,20.622866250341758,22.56,22.43
45.5,20.597095201956108,22.56,22.43
46.0,20.648637298727408,22.56,22.43
46.5,20.661522822920233,22.56,22.43
47.0,20.713064919691533,22.56,22.43
47.5,20.725950443884358,22.56,22.43
48.0,20.751721492270008,22.56,22.43
48.5,20.764607016462833,22.56,22.43
49.0,20.777492540655658,22.56,22.43
49.5,20.816149113234133,22.56,22.43
50.0,20.841920161619782,22.56,22.43
50.5,20.880576734198257,22.56,22.43
51.0,20.893462258391082,22.56,22.43
51.5,20.893462258391082,22.56,22.43
52.0,20.893462258391082,22.56,22.43
52.5,20.932118830969557,22.56,22.43
53.0,20.906347782583907,22.56,22.43
53.5,20.957889879355207,22.56,22.43
54.0,20.970775403548032,22.56,22.43
54.5,20.983660927740857,22.56,22.43
55.0,21.009431976126507,22.56,22.43
55.5,21.022317500319332,22.56,22.43
56.0,21.022317500319332,22.56,22.43
56.5,21.022317500319332,22.56,22.43
57.0,21.022317500319332,22.56,22.43
57.5,21.022317500319332,22.56,22.43
58.0,21.022317500319332,22.56,22.43
58.5,21.035203024512157,22.56,22.43
59.0,21.112516169669107,22.56,22.43
59.5,21.086745121283457,22.56,22.43
60.0,21.09963064547628,22.56,22.43
60.5,21.112516169669107,22.56,22.43
61.0,21.12540169386193,22.56,22.43
61.5,21.15117274224758,22.56,22.43
62.0,21.15117274224758,22.56,22.43
62.5,21.138287218054757,22.56,22.43
63.0,21.15117274224758,22.56,22.43
63.5,21.15117274224758,22.56,22.43
64.0,21.138287218054757,22.56,22.43
64.5,21.15117274224758,22.56,22.43
65.0,21.15117274224758,22.56,22.43
65.5,21.164058266440406,22.56,22.43
66.0,21.15117274224758,22.56,22.43
66.5,21.15117274224758,22.56,22.43
67.0,21.189829314826056,22.56,22.43
67.5,21.20271483901888,22.56,22.43
68.0,21.241371411597356,22.56,22.43
68.5,21.241371411597356,22.56,22.43
69.0,21.241371411597356,22.56,22.43
69.5,21.267142459983006,22.56,22.43
70.0,21.28002798417583,22.56,22.43
70.5,21.28002798417583,22.56,22.43
71.0,21.30579903256148,22.56,22.43
71.5,21.28002798417583,22.56,22.43
72.0,21.292913508368656,22.56,22.43
72.5,21.33157008094713,22.56,22.43
73.0,21.344455605139956,22.56,22.43
73.5,21.370226653525606,22.56,22.43
74.0,21.35734112933278,22.56,22.43
74.5,21.344455605139956,22.56,22.43
75.0,21.38311217771843,22.56,22.43
75.5,21.33157008094713,22.56,22.43
76.0,21.38311217771843,22.56,22.43
76.5,21.35734112933278,22.56,22.43
77.0,21.395997701911256,22.56,22.43
77.5,21.370226653525606,22.56,22.43
78.0,21.344455605139956,22.56,22.43
78.5,21.38311217771843,22.56,22.43
79.0,21.370226653525606,22.56,22.43
79.5,21.395997701911256,22.56,22.43
80.0,21.38311217771843,22.56,22.43
80.5,21.370226653525606,22.56,22.43
81.0,21.38311217771843,22.56,22.43
81.5,21.40888322610408,22.56,22.43
82.0,21.370226653525606,22.56,22.43
82.5,21.40888322610408,22.56,22.43
83.0,21.40888322610408,22.56,22.43
