Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,3.4078131786983086,25,20
1.0,18.859041090361476,25,20
1.5,19.996790017337496,25,20
2.0,20.388304377382514,25,20
2.5,20.378243279828776,25,20
3.0,20.442172262657657,25,20
3.5,20.432852141449672,25,20
4.0,20.16452689739469,25,20
4.5,20.24836371721106,25,20
5.0,20.155471985955487,25,20
5.5,20.11104914353495,25,20
6.0,20.378317946796372,25,20
6.5,20.13665190590187,25,20
7.0,20.187125947532934,25,20
7.5,20.081420499218254,25,20
8.0,20.131526282360092,25,20
8.5,20.282330283550934,25,20
9.0,20.207026470282138,25,20
9.5,20.237480864137236,25,20
10.0,20.29185984458117,25,20
10.5,20.427851494531282,25,20
11.0,20.25966978978112,25,20
11.5,20.26449465761313,25,20
12.0,20.294857990267303,25,20
12.5,20.05701155111018,25,20
13.0,20.146365444867396,25,20
13.5,20.47052031516775,25,20
14.0,20.481263667493337,40.0,20
14.5,20.61420629258083,40.0,20
15.0,20.54050483614333,40.0,20
15.5,20.55086722006246,40.0,20
16.0,20.875276537301893,40.0,20
16.5,20.68752083129147,40.0,20
17.0,20.782914654175116,40.0,20
17.5,20.734405611630923,40.0,20
18.0,20.554474763145866,40.0,20
18.5,20.672439888356756,40.0,20
19.0,20.915518971224532,40.0,20
19.5,20.65027946942253,40.0,39.0
20.0,20.694636268349694,40.0,39.0
20.5,21.204393730658957,40.0,39.0
21.0,21.470759504496524,40.0,39.0
21.5,21.80077501396371,40.0,39.0
22.0,22.007706643601605,40.0,39.0
22.5,22.05580682803268,40.0,39.0
23.0,22.37462823434601,40.0,39.0
23.5,22.706333356816234,40.0,39.0
24.0,22.713181296737567,40.0,39.0
24.5,23.13817283577193,40.0,39.0
25.0,23.258487098896477,40.0,39.0
25.5,23.621813730786002,40.0,39.0
26.0,23.61385651049014,40.0,39.0
26.5,23.874681830161812,40.0,39.0
27.0,24.1447057902584,40.0,39.0
27.5,24.444527962756187,40.0,39.0
28.0,24.806717116603178,40.0,39.0
28.5,25.03117374458687,40.0,39.0
29.0,25.049368553655817,40.0,39.0
29.5,25.275413015855285,40.0,39.0
30.0,25.391029596202564,40.0,39.0
30.5,25.826217785723273,40.0,39.0
31.0,26.026025652275486,40.0,39.0
31.5,25.965239976771883,40.0,39.0
32.0,25.870199212602234,40.0,39.0
32.5,26.280139996558415,40.0,39.0
33.0,26.435370808728877,40.0,39.0
33.5,26.42646012313169,40.0,39.0
34.0,26.750755027085525,40.0,39.0
34.5,26.887952496785275,40.0,39.0
35.0,27.0600335166163,40.0,39.0
35.5,27.388608487031423,40.0,39.0
36.0,27.609813302727584,40.0,39.0
36.5,27.94885816925435,40.0,39.0
37.0,28.135685689174952,40.0,39.0
37.5,28.153817718925374,40.0,39.0
38.0,28.435741267747115,40.0,39.0
38.5,28.372853769043946,40.0,39.0
39.0,28.689232638031452,40.0,39.0
39.5,28.78072167203651,40.0,39.0
40.0,29.151910307344163,40.0,39.0
40.5,29.12590254215908,40.0,39.0
41.0,29.18013924114468,40.0,39.0
41.5,29.43717855150538,40.0,39.0
42.0,29.804242852769054,40.0,39.0
42.5,30.243163446681976,40.0,39.0
43.0,30.50896429361255,40.0,39.0
43.5,30.63405553420686,40.0,39.0
44.0,31.190286316750605,40.0,39.0
44.5,31.387383991259323,40.0,39.0
45.0,31.840824988277237,40.0,39.0
45.5,32.139009525651424,40.0,39.0
46.0,32.29089600970223,40.0,39.0
46.5,32.49557632489901,40.0,39.0
47.0,32.54648644781509,40.0,39.0
47.5,32.769549609414454,40.0,39.0
48.0,32.70465243500212,40.0,39.0
48.5,33.17713864543483,40.0,39.0
49.0,33.20452015167631,40.0,39.0
49.5,33.71160288775792,40.0,39.0
50.0,33.94373532221149,40.0,39.0
50.5,34.37496796205331,40.0,39.0
51.0,34.79850715727592,40.0,39.0
51.5,35.35734340940577,40.0,39.0
52.0,35.698186409649665,40.0,39.0
52.5,35.66755934941018,40.0,39.0
53.0,35.98750430713058,40.0,39.0
53.5,36.254603315604,40.0,39.0
54.0,36.50962002405025,40.0,39.0
54.5,36.67366691980207,40.0,39.0
55.0,36.99957222149553,40.0,39.0
55.5,36.91683067651082,40.0,39.0
56.0,37.04428323499889,40.0,39.0
56.5,37.43880058801158,40.0,39.0
57.0,37.92242965975185,40.0,39.0
57.5,37.99399531371353,40.0,39.0
58.0,37.910762418521934,40.0,39.0
58.5,38.18991240210556,40.0,39.0
59.0,38.1776246767011,40.0,39.0
59.5,38.3539100209115,40.0,39.0
60.0,38.87741235927636,40.0,39.0
60.5,39.41475684351475,40.0,39.0
61.0,39.50088001571722,40.0,39.0
61.5,39.449039450519244,40.0,39.0
62.0,39.41569089486215,40.0,39.0
62.5,39.31864901710184,40.0,39.0
63.0,39.35334640803374,40.0,39.0
63.5,39.51689669450987,40.0,39.0
64.0,39.42352478317526,40.0,39.0
64.5,39.44870566556293,40.0,39.0
65.0,39.585740876223696,40.0,39.0
