Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,2.867818276055612,25,20
1.0,14.59377476642959,25,20
1.5,20.032726224985062,25,20
2.0,20.016975122931008,25,20
2.5,20.350334356808528,25,20
3.0,20.1736320402951,25,20
3.5,20.173486566287142,25,20
4.0,20.152129590966727,25,20
4.5,20.108850973160344,25,20
5.0,20.206793251793158,25,20
5.5,20.19972664080467,25,20
6.0,20.09708713249768,25,20
6.5,20.393303974424988,25,20
7.0,20.19565618911475,25,20
7.5,20.351759758321506,39.0,20
8.0,20.160439954216603,39.0,20
8.5,20.179285812028127,39.0,20
9.0,20.137075990847602,39.0,20
9.5,20.03745976309969,39.0,20
10.0,20.195684328194655,39.0,20
10.5,20.36083774980317,39.0,20
11.0,20.271077871969013,39.0,20
11.5,20.2128038036563,39.0,20
12.0,20.388864569091886,39.0,20
12.5,20.527102582400083,39.0,30.0
13.0,20.862916094252054,39.0,30.0
13.5,21.239270986713354,39.0,30.0
14.0,21.331087523395272,39.0,30.0
14.5,21.46499172954293,39.0,30.0
15.0,21.8988611230372,39.0,30.0
15.5,21.89723850214781,39.0,30.0
16.0,22.264203009100196,39.0,30.0
16.5,22.482721719748437,39.0,30.0
17.0,22.65345547473723,39.0,30.0
17.5,22.95534558688997,39.0,30.0
18.0,23.308201218221054,39.0,30.0
18.5,23.567741518735417,39.0,30.0
19.0,23.747437794221344,39.0,30.0
19.5,24.000983161679578,39.0,30.0
20.0,24.296001250588002,39.0,30.0
20.5,24.44744043564563,39.0,30.0
21.0,24.85164426789591,39.0,30.0
21.5,25.41173877148492,39.0,30.0
22.0,25.746203502243507,39.0,30.0
22.5,25.843895736180613,39.0,30.0
23.0,25.935967096143056,39.0,30.0
23.5,26.10193774598013,39.0,30.0
24.0,26.389605104489416,39.0,30.0
24.5,26.890910028945818,39.0,30.0
25.0,27.3670899490227,39.0,30.0
25.5,27.560960811247913,39.0,30.0
26.0,27.829391231709486,39.0,30.0
26.5,28.162068153687784,39.0,30.0
27.0,28.613298225997447,39.0,30.0
27.5,29.01678629939326,39.0,30.0
28.0,29.307890789736003,39.0,30.0
28.5,29.644496319114833,39.0,30.0
29.0,29.871818776096244,39.0,30.0
29.5,30.124207827871267,39.0,30.0
30.0,30.17486633773152,39.0,30.0
30.5,30.3255064093854,39.0,30.0
31.0,30.439280154446507,39.0,30.0
31.5,30.20994008030595,39.0,30.0
32.0,30.18159978548996,39.0,30.0
32.5,30.358432797090718,39.0,30.0
33.0,30.39024377482898,39.0,30.0
33.5,30.384441107311282,39.0,30.0
34.0,30.442824104423497,39.0,30.0
34.5,30.63465064893548,39.0,30.0
35.0,30.43733368371138,39.0,30.0
35.5,30.343910014537098,39.0,30.0
36.0,30.37411791574917,39.0,30.0
36.5,30.30599461155755,39.0,30.0
37.0,30.33367732219321,39.0,30.0
37.5,30.568716160550096,39.0,30.0
38.0,30.76629874679548,39.0,30.0
38.5,30.646372986084106,39.0,30.0
39.0,30.89002599459747,39.0,30.0
39.5,30.860505289219596,39.0,30.0
40.0,30.585939228455537,39.0,30.0
40.5,30.367013362094607,39.0,30.0
41.0,30.067138068209765,39.0,30.0
41.5,30.076245551606462,39.0,30.0
42.0,30.03634304654301,39.0,30.0
42.5,29.772691626936787,39.0,30.0
43.0,29.99973659483716,39.0,30.0
43.5,30.179821677967922,39.0,30.0
44.0,30.067198827798855,39.0,30.0
44.5,29.989597979908375,39.0,30.0
45.0,30.521038233119373,39.0,30.0
45.5,30.22709114713217,39.0,30.0
46.0,30.159589428693035,39.0,30.0
46.5,29.91151166785907,39.0,30.0
47.0,30.210891079296974,39.0,30.0
47.5,30.547288883446324,39.0,30.0
48.0,30.502098222152533,39.0,30.0
48.5,30.480083810310703,39.0,30.0
49.0,30.38859585464249,39.0,30.0
49.5,30.418034436470677,39.0,30.0
50.0,30.60874318539055,39.0,30.0
50.5,30.508429269709573,39.0,30.0
51.0,30.81757724924469,39.0,30.0
51.5,30.473209883208543,39.0,30.0
52.0,30.46919590222772,39.0,30.0
52.5,30.62320533764778,39.0,30.0
53.0,30.96845777174231,39.0,30.0
53.5,30.668999265780027,39.0,30.0
54.0,30.979808633711603,39.0,30.0
54.5,30.697503464108586,39.0,30.0
55.0,30.664240186003667,39.0,30.0
55.5,30.947530143826175,39.0,30.0
56.0,30.93990424829454,39.0,30.0
56.5,30.9789288217392,39.0,30.0
57.0,31.23456209504536,39.0,30.0
57.5,31.32813382584263,39.0,30.0
58.0,31.489195447513993,39.0,30.0
58.5,31.7433544194758,39.0,30.0
59.0,31.847656890892523,39.0,30.0
59.5,31.92181266511496,39.0,30.0
60.0,31.677690409244775,39.0,30.0
60.5,31.482458121068998,39.0,30.0
61.0,31.193522075125056,39.0,30.0
61.5,31.478177721373758,39.0,30.0
62.0,31.27567976110743,39.0,30.0
62.5,31.081831426757233,39.0,30.0
63.0,31.198499812554285,39.0,30.0
63.5,31.252625001344942,39.0,30.0
64.0,31.345051650617272,39.0,30.0
64.5,31.693428974039584,39.0,30.0
65.0,31.973116692128862,39.0,30.0
65.5,31.991419538606767,39.0,30.0
66.0,31.854481244484685,39.0,30.0
66.5,31.87038413960343,39.0,30.0
67.0,31.510058670107643,39.0,30.0
67.5,31.4138601557555,39.0,30.0
68.0,31.46040498576164,39.0,30.0
68.5,31.210537471406614,39.0,30.0
69.0,31.308560495487708,39.0,30.0
69.5,31.453571952145403,39.0,30.0
70.0,31.754122068898322,39.0,30.0
70.5,31.70494581056805,39.0,30.0
71.0,31.66420524935111,39.0,30.0
71.5,31.884055828386337,39.0,30.0
72.0,31.676012622050656,39.0,30.0
72.5,31.45551068008192,39.0,30.0
73.0,31.21736715522939,39.0,30.0
73.5,31.298292516473076,39.0,30.0
74.0,31.126111361967347,39.0,30.0
74.5,31.057235817373503,39.0,30.0
75.0,30.738993741300064,39.0,30.0
75.5,30.991351473434733,39.0,30.0
76.0,31.04452004251709,39.0,30.0
76.5,30.830313531352342,39.0,30.0
77.0,31.000780797497917,39.0,30.0
77.5,31.231715888358096,39.0,30.0
78.0,31.120323409017875,39.0,30.0
78.5,31.25272950297175,39.0,30.0
79.0,31.28164807751999,39.0,30.0
79.5,31.260859134804658,39.0,30.0
80.0,31.144023206035573,39.0,30.0
80.5,31.507912608046173,39.0,30.0
81.0,31.53020886000275,39.0,30.0
81.5,31.243871617649912,39.0,30.0
82.0,31.297160813990196,39.0,30.0
82.5,31.38089334144575,39.0,30.0
83.0,31.129758601420157,39.0,30.0
83.5,31.090859634823225,39.0,30.0
84.0,31.176181088256627,39.0,30.0
84.5,30.94550333684349,39.0,30.0
