Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,27.606820362852886,25,20
1.0,28.23821104830131,25,20
1.5,28.263982096686956,25,20
2.0,28.23821104830131,25,20
2.5,28.23821104830131,25,20
3.0,28.23821104830131,25,20
3.5,28.23821104830131,25,20
4.0,28.173783427337185,25,20
4.5,28.23821104830131,25,20
5.0,28.225325524108484,25,20
5.5,28.23821104830131,25,20
6.0,28.148012378951538,25,20
6.5,28.225325524108484,25,20
7.0,28.16089790314436,25,20
7.5,28.23821104830131,40.0,20
8.0,27.85164532251656,40.0,20
8.5,27.85164532251656,40.0,20
9.0,27.85164532251656,40.0,20
9.5,27.85164532251656,40.0,20
10.0,27.85164532251656,40.0,20
10.5,27.85164532251656,40.0,20
11.0,27.85164532251656,40.0,20
11.5,27.85164532251656,40.0,20
12.0,27.85164532251656,40.0,20
12.5,27.864530846709386,40.0,37.5
13.0,28.083584757987413,40.0,37.5
13.5,28.083584757987413,40.0,37.5
14.0,28.083584757987413,40.0,37.5
14.5,28.096470282180235,40.0,37.5
15.0,28.096470282180235,40.0,37.5
15.5,28.10935580637306,40.0,37.5
16.0,28.122241330565885,40.0,37.5
16.5,28.16089790314436,40.0,37.5
17.0,28.173783427337185,40.0,37.5
17.5,28.212439999915663,40.0,37.5
18.0,28.23821104830131,40.0,37.5
18.5,28.23821104830131,40.0,37.5
19.0,28.263982096686956,40.0,37.5
19.5,28.276867620879788,40.0,37.5
20.0,28.31552419345826,40.0,37.5
20.5,28.341295241843913,40.0,37.5
21.0,28.379951814422384,40.0,37.5
21.5,28.36706629022956,40.0,37.5
22.0,28.44437943538651,40.0,37.5
22.5,28.470150483772162,40.0,37.5
23.0,28.508807056350634,40.0,37.5
23.5,28.508807056350634,40.0,37.5
24.0,28.59900572570041,40.0,37.5
24.5,28.624776774086058,40.0,37.5
25.0,28.637662298278883,40.0,37.5
25.5,28.689204395050183,40.0,37.5
26.0,28.740746491821483,40.0,37.5
26.5,28.740746491821483,40.0,37.5
27.0,28.766517540207133,40.0,37.5
27.5,28.84383068536408,40.0,37.5
28.0,28.882487257942557,40.0,37.5
28.5,28.895372782135382,40.0,37.5
29.0,28.934029354713857,40.0,37.5
29.5,28.998456975677982,40.0,37.5
30.0,29.011342499870807,40.0,37.5
30.5,29.024228024063632,40.0,37.5
31.0,29.101541169220578,40.0,37.5
31.5,29.140197741799057,40.0,37.5
32.0,29.140197741799057,40.0,37.5
32.5,29.191739838570356,40.0,37.5
33.0,29.24328193534166,40.0,37.5
33.5,29.28193850792013,40.0,37.5
34.0,29.320595080498606,40.0,37.5
34.5,29.359251653077077,40.0,37.5
35.0,29.38502270146273,40.0,37.5
35.5,29.397908225655556,40.0,37.5
36.0,29.46233584661968,40.0,37.5
36.5,29.475221370812505,40.0,37.5
37.0,29.526763467583805,40.0,37.5
37.5,29.55253451596945,40.0,37.5
38.0,29.565420040162284,40.0,37.5
38.5,29.616962136933576,40.0,37.5
39.0,29.655618709512055,40.0,37.5
39.5,29.6813897578977,40.0,37.5
40.0,29.732931854669005,40.0,37.5
40.5,29.77158842724748,40.0,37.5
41.0,29.784473951440305,40.0,37.5
41.5,29.823130524018783,40.0,37.5
42.0,29.887558144982908,40.0,37.5
42.5,29.90044366917573,40.0,37.5
43.0,29.913329193368554,40.0,37.5
43.5,29.92621471756138,40.0,37.5
44.0,29.97775681433268,40.0,37.5
44.5,30.042184435296804,40.0,37.5
45.0,30.05506995948963,40.0,37.5
45.5,30.05506995948963,40.0,37.5
46.0,30.145268628839407,40.0,37.5
46.5,30.15815415303223,40.0,37.5
47.0,30.171039677225053,40.0,37.5
47.5,30.1968107256107,40.0,37.5
48.0,30.248352822382003,40.0,37.5
48.5,30.287009394960478,40.0,37.5
49.0,30.299894919153303,40.0,37.5
49.5,30.351437015924603,40.0,37.5
50.0,30.377208064310253,40.0,37.5
50.5,30.415864636888728,40.0,37.5
51.0,30.428750161081553,40.0,37.5
51.5,30.441635685274377,40.0,37.5
52.0,30.506063306238502,40.0,37.5
52.5,30.544719878816977,40.0,37.5
53.0,30.570490927202627,40.0,37.5
53.5,30.609147499781102,40.0,37.5
54.0,30.634918548166752,40.0,37.5
54.5,30.68646064493805,40.0,37.5
55.0,30.68646064493805,40.0,37.5
55.5,30.712231693323698,40.0,37.5
56.0,30.73800274170935,40.0,37.5
56.5,30.789544838480655,40.0,37.5
57.0,30.802430362673476,40.0,37.5
57.5,30.8153158868663,40.0,37.5
58.0,30.8153158868663,40.0,37.5
58.5,30.879743507830426,40.0,37.5
59.0,30.931285604601726,40.0,37.5
59.5,30.931285604601726,40.0,37.5
60.0,30.94417112879455,40.0,37.5
60.5,30.94417112879455,40.0,37.5
61.0,30.99571322556585,40.0,37.5
61.5,31.008598749758676,40.0,37.5
62.0,31.060140846529976,40.0,37.5
62.5,31.0730263707228,40.0,37.5
63.0,31.085911894915625,40.0,37.5
63.5,31.15033951587975,40.0,37.5
64.0,31.137453991686925,40.0,37.5
64.5,31.176110564265404,40.0,37.5
65.0,31.188996088458225,40.0,37.5
65.5,31.20188161265105,40.0,37.5
66.0,31.20188161265105,40.0,37.5
66.5,31.214767136843875,40.0,37.5
67.0,31.227652661036696,40.0,37.5
67.5,31.227652661036696,40.0,37.5
68.0,31.25342370942235,40.0,37.5
68.5,31.304965806193653,40.0,37.5
69.0,31.317851330386475,40.0,37.5
69.5,31.343622378772125,40.0,37.5
70.0,31.343622378772125,40.0,37.5
70.5,31.369393427157778,40.0,37.5
71.0,31.446706572314724,40.0,37.5
71.5,31.446706572314724,40.0,37.5
72.0,31.45959209650755,40.0,37.5
72.5,31.472477620700374,40.0,37.5
73.0,31.51113419327885,40.0,37.5
73.5,31.485363144893196,40.0,37.5
74.0,31.524019717471674,40.0,37.5
74.5,31.54979076585732,40.0,37.5
75.0,31.5884473384358,40.0,37.5
75.5,31.5884473384358,40.0,37.5
76.0,31.614218386821445,40.0,37.5
76.5,31.614218386821445,40.0,37.5
77.0,31.6399894352071,40.0,37.5
77.5,31.67864600778557,40.0,37.5
78.0,31.704417056171224,40.0,37.5
78.5,31.704417056171224,40.0,37.5
79.0,31.71730258036405,40.0,37.5
79.5,31.730188104556873,40.0,37.5
80.0,31.71730258036405,40.0,37.5
80.5,31.743073628749695,40.0,37.5
81.0,31.730188104556873,40.0,37.5
81.5,31.71730258036405,40.0,37.5
82.0,31.71730258036405,40.0,37.5
82.5,31.71730258036405,40.0,37.5
83.0,31.704417056171224,40.0,37.5
83.5,31.704417056171224,40.0,37.5
84.0,31.691531531978402,40.0,37.5
84.5,31.691531531978402,40.0,37.5
85.0,31.691531531978402,40.0,37.5
85.5,31.704417056171224,40.0,37.5
86.0,31.704417056171224,40.0,37.5
86.5,31.704417056171224,40.0,37.5
87.0,31.71730258036405,40.0,37.5
87.5,31.71730258036405,40.0,37.5
88.0,31.704417056171224,40.0,37.5
88.5,31.71730258036405,40.0,37.5
89.0,31.71730258036405,40.0,37.5
89.5,31.730188104556873,40.0,37.5
90.0,31.71730258036405,40.0,37.5
90.5,31.71730258036405,40.0,37.5
91.0,31.71730258036405,40.0,37.5
91.5,31.71730258036405,40.0,37.5
92.0,31.71730258036405,40.0,37.5
92.5,31.71730258036405,40.0,19.0
93.0,31.5369052416645,40.0,19.0
