Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,23.831361774355173,25,20
1.0,23.973102540476248,25,20
1.5,23.973102540476248,25,20
2.0,23.934445967897773,25,20
2.5,23.985988064669073,25,20
3.0,23.985988064669073,25,20
3.5,23.960217016283423,25,20
4.0,23.985988064669073,25,20
4.5,23.947331492090598,25,20
5.0,23.921560443704948,25,20
5.5,23.973102540476248,25,20
6.0,23.960217016283423,40.0,20
6.5,23.921560443704948,40.0,20
7.0,23.960217016283423,40.0,20
7.5,23.960217016283423,40.0,20
8.0,23.960217016283423,40.0,20
8.5,23.921560443704948,40.0,20
9.0,23.973102540476248,40.0,20
9.5,23.921560443704948,40.0,20
10.0,23.973102540476248,40.0,39.0
10.5,24.063301209826022,40.0,39.0
11.0,24.089072258211672,40.0,39.0
11.5,24.089072258211672,40.0,39.0
12.0,24.114843306597322,40.0,39.0
12.5,24.114843306597322,40.0,39.0
13.0,24.114843306597322,40.0,39.0
13.5,24.140614354982972,40.0,39.0
14.0,24.153499879175797,40.0,39.0
14.5,24.205041975947097,40.0,39.0
15.0,24.192156451754272,40.0,39.0
15.5,24.230813024332747,40.0,39.0
16.0,24.230813024332747,40.0,39.0
16.5,24.243698548525572,40.0,39.0
17.0,24.243698548525572,40.0,39.0
17.5,24.26946959691122,40.0,39.0
18.0,24.359668266260996,40.0,39.0
18.5,24.37255379045382,40.0,39.0
19.0,24.37255379045382,40.0,39.0
19.5,24.39832483883947,40.0,39.0
20.0,24.44986693561077,40.0,39.0
20.5,24.44986693561077,40.0,39.0
21.0,24.50140903238207,40.0,39.0
21.5,24.50140903238207,40.0,39.0
22.0,24.540065604960546,40.0,39.0
22.5,24.565836653346196,40.0,39.0
23.0,24.643149798503146,40.0,39.0
23.5,24.643149798503146,40.0,39.0
24.0,24.68180637108162,40.0,39.0
24.5,24.746233992045745,40.0,39.0
25.0,24.746233992045745,40.0,39.0
25.5,24.772005040431395,40.0,39.0
26.0,24.83643266139552,40.0,39.0
26.5,24.86220370978117,40.0,39.0
27.0,24.88797475816682,40.0,39.0
27.5,24.88797475816682,40.0,39.0
28.0,24.926631330745295,40.0,39.0
28.5,24.952402379130945,40.0,39.0
29.0,25.01683000009507,40.0,39.0
29.5,25.029715524287894,40.0,39.0
30.0,25.042601048480716,40.0,39.0
30.5,25.119914193637673,40.0,39.0
31.0,25.14568524202332,40.0,39.0
31.5,25.14568524202332,40.0,39.0
32.0,25.14568524202332,40.0,39.0
32.5,25.184341814601797,40.0,39.0
33.0,25.23588391137309,40.0,39.0
33.5,25.261654959758744,40.0,39.0
34.0,25.248769435565922,40.0,39.0
34.5,25.27454048395157,40.0,39.0
35.0,25.287426008144394,40.0,39.0
35.5,25.287426008144394,40.0,39.0
36.0,25.36473915330134,40.0,39.0
36.5,25.36473915330134,40.0,39.0
37.0,25.390510201686993,40.0,39.0
37.5,25.403395725879818,40.0,39.0
38.0,25.403395725879818,40.0,39.0
38.5,25.416281250072643,40.0,39.0
39.0,25.416281250072643,40.0,39.0
