Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.491267258301377,25,20
1.0,22.697435645386577,25,20
1.5,22.697435645386577,25,20
2.0,22.697435645386577,25,20
2.5,22.697435645386577,25,20
3.0,22.6587790728081,25,20
3.5,22.697435645386577,25,20
4.0,22.723206693772227,25,20
4.5,22.697435645386577,25,20
5.0,22.697435645386577,25,20
5.5,22.697435645386577,25,20
6.0,22.697435645386577,25,20
6.5,22.723206693772227,25,20
7.0,22.7103211695794,25,20
7.5,22.7103211695794,25,20
8.0,22.73609221796505,25,20
8.5,22.748977742157876,21.0,20
9.0,22.99380270182155,21.0,20
9.5,22.99380270182155,21.0,20
10.0,23.006688226014376,21.0,20
10.5,23.0195737502072,21.0,20
11.0,22.99380270182155,21.0,20
11.5,23.0195737502072,21.0,32.0
12.0,22.929375080857426,34.0,32.0
12.5,22.929375080857426,34.0,32.0
13.0,22.929375080857426,34.0,32.0
13.5,22.955146129243076,34.0,32.0
14.0,22.955146129243076,34.0,32.0
14.5,22.955146129243076,34.0,32.0
15.0,22.955146129243076,34.0,32.0
15.5,22.955146129243076,34.0,32.0
16.0,23.006688226014376,34.0,32.0
16.5,23.006688226014376,34.0,32.0
17.0,23.0711158469785,34.0,32.0
17.5,23.0711158469785,34.0,32.0
18.0,23.084001371171325,34.0,32.0
18.5,23.084001371171325,34.0,32.0
19.0,23.09688689536415,34.0,32.0
19.5,23.161314516328275,34.0,32.0
20.0,23.19997108890675,34.0,32.0
20.5,23.212856613099575,34.0,32.0
21.0,23.25151318567805,34.0,32.0
21.5,23.264398709870875,34.0,32.0
22.0,23.315940806642175,34.0,32.0
22.5,23.341711855027825,34.0,32.0
23.0,23.3803684276063,34.0,32.0
23.5,23.3803684276063,34.0,20.0
24.0,23.328826330835,34.0,20.0
24.5,23.341711855027825,34.0,20.0
25.0,23.367482903413475,34.0,20.0
25.5,23.444796048570424,34.0,20.0
26.0,23.45768157276325,34.0,20.0
26.5,23.470567096956074,34.0,20.0
27.0,23.470567096956074,34.0,20.0
27.5,23.470567096956074,34.0,20.0
28.0,23.547880242113024,21.0,20.0
28.5,23.805590725969523,21.0,20.0
29.0,23.805590725969523,21.0,20.0
29.5,23.805590725969523,21.0,20.0
30.0,23.844247298547998,21.0,20.0
30.5,23.857132822740823,21.0,20.0
31.0,23.844247298547998,21.0,20.0
31.5,23.76693415339105,21.0,20.0
32.0,23.805590725969523,21.0,20.0
32.5,23.844247298547998,21.0,20.0
33.0,23.857132822740823,21.0,20.0
33.5,23.805590725969523,21.0,20.0
34.0,23.857132822740823,21.0,20.0
34.5,23.857132822740823,21.0,20.0
35.0,23.844247298547998,21.0,20.0
35.5,23.857132822740823,21.0,20.0
36.0,23.857132822740823,21.0,20.0
36.5,23.818476250162348,21.0,20.0
37.0,23.818476250162348,21.0,20.0
37.5,23.7927052017767,21.0,20.0
38.0,23.779819677583873,21.0,20.0
38.5,23.754048629198223,21.0,20.0
39.0,23.754048629198223,21.0,20.0
39.5,23.7411631050054,21.0,20.0
40.0,23.728277580812573,21.0,20.0
40.5,23.7411631050054,21.0,20.0
41.0,23.676735484041274,21.0,20.0
41.5,23.728277580812573,21.0,20.0
42.0,23.728277580812573,21.0,20.0
42.5,23.650964435655624,21.0,20.0
43.0,23.676735484041274,21.0,20.0
