Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,28.023999999999997,25,20
1.0,28.023999999999997,25,20
1.5,28.602,25,20
2.0,28.602,25,20
2.5,28.609,25,20
3.0,28.618,25,20
3.5,28.618,25,20
4.0,28.627000000000002,25,20
4.5,28.633999999999997,25,20
5.0,28.633999999999997,25,20
5.5,28.639,25,20
6.0,28.645,25,20
6.5,28.645,25,20
7.0,28.649,25,20
7.5,28.654000000000003,25,20
8.0,28.654000000000003,25,20
8.5,28.657,25,20
9.0,28.659000000000002,25,20
9.5,28.659000000000002,25,20
10.0,28.659000000000002,25,20
10.5,28.660999999999998,25,20
11.0,28.660999999999998,25,20
11.5,28.663,25,20
12.0,28.663,25,20
12.5,28.664,25,20
13.0,28.665000000000003,25,20
13.5,28.665000000000003,25,20
14.0,28.664,25,20
14.5,28.664,25,20
15.0,28.664,25,20
15.5,28.665000000000003,25,20
16.0,28.666999999999998,25,20
16.5,28.666999999999998,25,20
17.0,28.669,25,20
17.5,28.673,60.0,20
18.0,28.673,60.0,20
18.5,28.333000000000002,60.0,20
19.0,28.334,60.0,20
19.5,28.334,60.0,20
20.0,28.333000000000002,60.0,20
20.5,28.337,60.0,40.0
21.0,28.337,60.0,40.0
21.5,28.502,60.0,40.0
22.0,28.502,60.0,40.0
22.5,28.511999999999997,60.0,40.0
23.0,28.525,60.0,40.0
23.5,28.525,60.0,40.0
24.0,28.543000000000003,60.0,40.0
24.5,28.561999999999998,60.0,40.0
25.0,28.561999999999998,60.0,40.0
25.5,28.585,60.0,40.0
26.0,28.610999999999997,60.0,40.0
26.5,28.610999999999997,60.0,40.0
27.0,28.64,60.0,40.0
27.5,28.67,60.0,40.0
28.0,28.67,60.0,40.0
28.5,28.704,60.0,40.0
29.0,28.741,60.0,40.0
29.5,28.741,60.0,40.0
30.0,28.782000000000004,60.0,40.0
30.5,28.826,60.0,40.0
31.0,28.826,60.0,40.0
31.5,28.871000000000002,60.0,40.0
32.0,28.871000000000002,60.0,40.0
32.5,28.919,60.0,40.0
33.0,28.969,60.0,40.0
33.5,28.969,60.0,40.0
