Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,25.403395725879818,25,20
1.0,25.673991733929142,25,20
1.5,25.648220685543492,25,20
2.0,25.62244963715784,25,20
2.5,25.63533516135067,25,20
3.0,25.63533516135067,25,20
3.5,25.596678588772193,25,20
4.0,25.62244963715784,25,20
4.5,25.648220685543492,25,20
5.0,25.62244963715784,25,20
5.5,25.63533516135067,25,20
6.0,25.609564112965018,25,20
6.5,25.596678588772193,25,20
7.0,25.583793064579368,25,20
7.5,25.596678588772193,25,20
8.0,25.62244963715784,25,20
8.5,25.583793064579368,25,20
9.0,25.596678588772193,25,20
9.5,25.558022016193714,25,20
10.0,25.558022016193714,25,20
10.5,25.558022016193714,25,20
11.0,25.570907540386546,25,20
11.5,25.558022016193714,25,20
12.0,25.609564112965018,25,20
12.5,25.62244963715784,25,20
13.0,25.570907540386546,25,20
13.5,25.609564112965018,25,20
14.0,25.63533516135067,25,20
14.5,25.62244963715784,25,20
15.0,25.609564112965018,25,20
15.5,25.648220685543492,25,20
16.0,25.648220685543492,25,20
16.5,25.648220685543492,25,20
17.0,25.661106209736317,25,20
17.5,25.648220685543492,25,20
18.0,25.62244963715784,25,20
18.5,25.648220685543492,25,20
19.0,25.63533516135067,25,20
19.5,25.648220685543492,25,20
20.0,25.62244963715784,25,20
20.5,25.62244963715784,25,20
21.0,25.661106209736317,25,20
21.5,25.62244963715784,25,20
22.0,25.63533516135067,25,20
22.5,25.63533516135067,25,20
23.0,25.648220685543492,25,20
23.5,25.648220685543492,25,20
24.0,25.648220685543492,25,20
24.5,25.661106209736317,25,20
25.0,25.661106209736317,25,20
25.5,25.648220685543492,25,20
26.0,25.661106209736317,25,20
26.5,25.661106209736317,25,20
27.0,25.661106209736317,25,20
27.5,25.648220685543492,25,20
28.0,25.661106209736317,25,20
28.5,25.648220685543492,25,20
29.0,25.648220685543492,25,20
29.5,25.648220685543492,25,20
30.0,25.661106209736317,25,20
30.5,25.63533516135067,25,20
31.0,25.648220685543492,25,20
31.5,25.673991733929142,25,20
32.0,25.673991733929142,25,20
32.5,25.661106209736317,25,20
33.0,25.661106209736317,25,20
33.5,25.673991733929142,25,20
34.0,25.661106209736317,25,20
34.5,25.661106209736317,25,20
35.0,25.686877258121964,40.0,20
35.5,25.545136492000893,40.0,20
36.0,25.558022016193714,40.0,20
36.5,25.558022016193714,40.0,20
37.0,25.545136492000893,40.0,20
37.5,25.558022016193714,40.0,20
38.0,25.558022016193714,40.0,20
38.5,25.558022016193714,40.0,20
39.0,25.558022016193714,40.0,20
39.5,25.570907540386546,40.0,20
40.0,25.570907540386546,40.0,20
40.5,25.545136492000893,40.0,20
41.0,25.583793064579368,40.0,20
41.5,25.609564112965018,40.0,20
42.0,25.62244963715784,40.0,20
42.5,25.648220685543492,40.0,35.0
43.0,25.686877258121964,40.0,35.0
43.5,25.673991733929142,40.0,35.0
44.0,25.738419354893267,40.0,35.0
44.5,25.725533830700442,40.0,35.0
45.0,25.738419354893267,40.0,35.0
45.5,25.789961451664567,40.0,35.0
46.0,25.789961451664567,40.0,35.0
46.5,25.789961451664567,40.0,35.0
47.0,25.815732500050213,40.0,35.0
47.5,25.828618024243045,40.0,35.0
48.0,25.880160121014338,40.0,35.0
48.5,25.880160121014338,40.0,35.0
49.0,25.90593116939999,40.0,35.0
49.5,25.918816693592817,40.0,35.0
50.0,25.918816693592817,40.0,35.0
50.5,25.93170221778564,40.0,35.0
51.0,25.996129838749766,40.0,35.0
51.5,26.02190088713542,40.0,35.0
52.0,26.047671935521066,40.0,35.0
52.5,26.06055745971389,40.0,35.0
53.0,26.11209955648519,40.0,35.0
53.5,26.15075612906367,40.0,35.0
54.0,26.176527177449316,40.0,35.0
54.5,26.176527177449316,40.0,35.0
55.0,26.253840322606266,40.0,35.0
55.5,26.266725846799087,40.0,35.0
56.0,26.305382419377565,40.0,35.0
56.5,26.31826794357039,40.0,35.0
57.0,26.356924516148865,40.0,35.0
57.5,26.434237661305815,40.0,35.0
58.0,26.434237661305815,40.0,35.0
58.5,26.44712318549864,40.0,35.0
59.0,26.49866528226994,40.0,35.0
59.5,27.393314999999994,40.0,35.0
60.0,27.445514999999997,40.0,35.0
60.5,27.442290000000003,40.0,35.0
61.0,27.564584999999997,40.0,35.0
61.5,27.549049999999998,40.0,35.0
62.0,27.62253,40.0,35.0
62.5,27.69925,40.0,35.0
63.0,27.727524999999996,40.0,35.0
63.5,27.82927,40.0,35.0
64.0,27.798810000000003,40.0,35.0
64.5,27.938430000000004,40.0,35.0
65.0,27.970499999999998,40.0,35.0
65.5,28.04569,40.0,35.0
66.0,28.145360000000004,40.0,35.0
66.5,28.148724999999995,40.0,35.0
67.0,28.15443,40.0,35.0
67.5,28.378179999999997,40.0,35.0
68.0,28.333665000000003,40.0,35.0
68.5,28.473775,40.0,35.0
69.0,28.486060000000002,40.0,35.0
69.5,28.625885,40.0,35.0
70.0,28.66994,40.0,35.0
70.5,28.764505,40.0,35.0
