Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,10.923362096507157,25,20
1.0,14.832232467437304,25,20
1.5,16.953744332639854,25,20
2.0,18.225460174872488,25,20
2.5,18.54670328349931,25,20
3.0,19.25872397667072,25,20
3.5,19.65343660947358,25,20
4.0,19.88679888001355,25,20
4.5,20.030551046079086,25,20
5.0,20.034980013956,25,20
5.5,20.120419242438285,25,20
6.0,20.19952938828903,25,20
6.5,20.20255240502723,25,20
7.0,20.361357298422266,25,20
7.5,20.48857501750595,25,20
8.0,20.346466323652177,25,20
8.5,20.49862809039043,25,20
9.0,20.31735007004888,25,20
9.5,20.391834401514814,25,20
10.0,20.441242631648436,25,20
10.5,20.364673260072045,25,20
11.0,20.300666272033055,25,20
11.5,20.38168831134258,25,20
12.0,20.53653430875988,25,20
12.5,20.579767738020998,25,20
13.0,20.589006241828884,25,20
13.5,20.471431139244203,25,20
14.0,20.566556174564123,25,20
14.5,20.383486936762115,25,20
15.0,20.341363485339823,25,20
15.5,20.375139656110683,25,20
16.0,20.51662858146078,25,20
16.5,20.66183414725706,25,20
17.0,20.775824601120938,25,20
17.5,20.807551139452418,25,20
18.0,20.991746627592935,25,20
18.5,21.14991344894158,25,20
19.0,21.162488473713008,25,20
19.5,21.308854389604743,25,20
20.0,21.3211737321811,25,20
20.5,21.26039136709898,25,20
21.0,21.17235950036855,25,20
21.5,21.235787061017852,25,20
22.0,21.291926066830328,25,20
22.5,21.486482921927966,25,20
23.0,21.66363936339518,25,20
23.5,21.584354968771184,25,20
24.0,21.619779395946317,25,20
24.5,21.80610609873067,25,20
25.0,21.65395862908715,25,20
25.5,21.58043392628608,30.0,20
26.0,21.509055186222742,30.0,20
26.5,21.54367666534918,30.0,20
27.0,21.434843418680785,30.0,20
27.5,21.42591660089684,30.0,20
28.0,21.544963056928587,30.0,20
28.5,21.34790640750775,30.0,29.0
29.0,21.424156404311454,30.0,29.0
29.5,21.39570276161971,30.0,29.0
30.0,21.41749774320896,30.0,29.0
30.5,21.492707077725395,30.0,29.0
31.0,21.318073355128234,30.0,29.0
31.5,21.44486348144695,30.0,29.0
32.0,21.527514986516266,30.0,29.0
32.5,21.70963730712573,30.0,29.0
33.0,21.54168366260003,30.0,29.0
33.5,21.35165130612425,30.0,29.0
34.0,21.183427661415372,30.0,29.0
34.5,21.283143022135405,30.0,29.0
35.0,21.383786630784186,30.0,29.0
35.5,21.376574553813445,30.0,29.0
36.0,21.29372961114545,30.0,29.0
36.5,21.29803960427672,30.0,29.0
37.0,21.214685048810207,30.0,29.0
37.5,21.411301884000448,30.0,29.0
38.0,21.432268923774352,30.0,29.0
38.5,21.27356908294875,30.0,29.0
39.0,21.471629986587182,30.0,29.0
39.5,21.344047598154855,30.0,29.0
40.0,21.185051861862476,30.0,29.0
40.5,21.109039684741546,30.0,29.0
41.0,20.972236151377555,30.0,29.0
41.5,21.02462307495659,30.0,29.0
42.0,20.85187069020476,30.0,29.0
42.5,20.811666341713583,30.0,29.0
