Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.413954113144428,25,20
1.0,22.465496209915727,25,20
1.5,22.517038306687027,25,20
2.0,22.504152782494202,25,20
2.5,22.478381734108552,25,20
3.0,22.465496209915727,25,20
3.5,22.504152782494202,25,20
4.0,22.465496209915727,25,20
4.5,22.452610685722902,25,20
5.0,22.529923830879852,25,20
5.5,22.478381734108552,25,20
6.0,22.517038306687027,25,20
6.5,22.529923830879852,25,20
7.0,22.504152782494202,28.0,20
7.5,22.491267258301377,28.0,20
8.0,22.542809355072677,28.0,20
8.5,22.504152782494202,28.0,25.0
9.0,22.607236976036802,28.0,25.0
9.5,22.607236976036802,28.0,25.0
10.0,22.568580403458327,28.0,25.0
10.5,22.645893548615277,28.0,25.0
11.0,22.633008024422452,28.0,25.0
11.5,22.68455012119375,28.0,25.0
12.0,22.697435645386577,28.0,25.0
12.5,22.68455012119375,28.0,25.0
13.0,22.7103211695794,28.0,25.0
13.5,22.7103211695794,28.0,25.0
14.0,22.723206693772227,28.0,25.0
14.5,22.7618632663507,28.0,25.0
15.0,22.774748790543526,28.0,25.0
15.5,22.813405363122,28.0,25.0
16.0,22.826290887314826,28.0,25.0
16.5,22.826290887314826,28.0,25.0
17.0,22.83917641150765,28.0,25.0
17.5,22.8649474598933,28.0,25.0
18.0,22.929375080857426,28.0,25.0
18.5,22.94226060505025,28.0,25.0
19.0,22.955146129243076,28.0,25.0
19.5,22.99380270182155,28.0,25.0
20.0,23.058230322785676,28.0,25.0
20.5,23.032459274400026,28.0,25.0
21.0,23.084001371171325,28.0,25.0
21.5,23.084001371171325,28.0,25.0
22.0,23.14842899213545,28.0,25.0
22.5,23.14842899213545,28.0,25.0
23.0,23.19997108890675,28.0,25.0
23.5,23.212856613099575,28.0,25.0
24.0,23.2257421372924,28.0,25.0
24.5,23.2772842340637,28.0,25.0
25.0,23.315940806642175,28.0,25.0
25.5,23.328826330835,28.0,25.0
26.0,23.367482903413475,28.0,25.0
26.5,23.35459737922065,28.0,25.0
27.0,23.419025000184774,28.0,25.0
27.5,23.45768157276325,28.0,25.0
28.0,23.470567096956074,28.0,25.0
28.5,23.496338145341724,28.0,25.0
29.0,23.573651290498674,28.0,25.0
29.5,23.599422338884324,28.0,25.0
30.0,23.625193387269974,28.0,25.0
30.5,23.66384995984845,28.0,25.0
31.0,23.676735484041274,28.0,25.0
31.5,23.728277580812573,28.0,25.0
32.0,23.7411631050054,28.0,25.0
32.5,23.76693415339105,28.0,25.0
33.0,23.805590725969523,28.0,25.0
33.5,23.844247298547998,28.0,25.0
34.0,23.870018346933648,28.0,25.0
34.5,23.870018346933648,28.0,25.0
35.0,23.908674919512123,28.0,25.0
35.5,23.973102540476248,28.0,25.0
36.0,23.973102540476248,28.0,25.0
36.5,24.011759113054723,28.0,25.0
37.0,24.011759113054723,28.0,25.0
37.5,24.101957782404497,28.0,25.0
38.0,24.101957782404497,28.0,25.0
38.5,24.114843306597322,28.0,25.0
39.0,24.114843306597322,28.0,25.0
39.5,24.114843306597322,28.0,25.0
40.0,24.230813024332747,28.0,25.0
40.5,24.243698548525572,28.0,25.0
41.0,24.256584072718397,28.0,25.0
41.5,24.26946959691122,28.0,25.0
42.0,24.333897217875347,28.0,25.0
42.5,24.359668266260996,28.0,25.0
43.0,24.37255379045382,28.0,25.0
43.5,24.39832483883947,28.0,25.0
44.0,24.42409588722512,28.0,25.0
44.5,24.50140903238207,28.0,25.0
45.0,24.47563798399642,28.0,25.0
45.5,24.50140903238207,28.0,25.0
46.0,24.50140903238207,28.0,25.0
46.5,24.52718008076772,28.0,25.0
47.0,24.55295112915337,28.0,25.0
47.5,24.617378750117496,28.0,25.0
48.0,24.63026427431032,28.0,25.0
48.5,24.643149798503146,28.0,25.0
49.0,24.643149798503146,28.0,25.0
49.5,24.668920846888795,28.0,25.0
50.0,24.73334846785292,28.0,25.0
50.5,24.746233992045745,28.0,25.0
51.0,24.75911951623857,28.0,25.0
51.5,24.75911951623857,28.0,25.0
52.0,24.772005040431395,28.0,25.0
52.5,24.81066161300987,28.0,25.0
53.0,24.875089233973995,28.0,25.0
53.5,24.88797475816682,28.0,25.0
54.0,24.88797475816682,28.0,25.0
54.5,24.91374580655247,28.0,25.0
55.0,24.96528790332377,28.0,25.0
55.5,25.01683000009507,28.0,25.0
56.0,24.91374580655247,28.0,25.0
56.5,25.01683000009507,28.0,25.0
57.0,24.96528790332377,28.0,25.0
57.5,25.01683000009507,28.0,25.0
58.0,25.003944475902244,28.0,25.0
58.5,25.01683000009507,28.0,25.0
59.0,25.003944475902244,28.0,25.0
59.5,25.042601048480716,28.0,25.0
60.0,25.042601048480716,28.0,25.0
60.5,25.06837209686637,28.0,25.0
61.0,25.055486572673548,28.0,25.0
61.5,25.055486572673548,28.0,25.0
62.0,25.10702866944484,28.0,25.0
62.5,25.14568524202332,28.0,25.0
63.0,25.14568524202332,28.0,25.0
63.5,25.14568524202332,28.0,25.0
64.0,25.119914193637673,28.0,25.0
64.5,25.132799717830494,28.0,25.0
65.0,25.132799717830494,28.0,25.0
65.5,25.14568524202332,28.0,25.0
66.0,25.14568524202332,28.0,25.0
66.5,25.14568524202332,28.0,25.0
67.0,25.119914193637673,28.0,25.0
67.5,25.14568524202332,28.0,25.0
68.0,25.10702866944484,28.0,25.0
68.5,25.14568524202332,28.0,25.0
69.0,25.14568524202332,28.0,25.0
69.5,25.14568524202332,28.0,25.0
70.0,25.14568524202332,28.0,25.0
70.5,25.119914193637673,28.0,25.0
71.0,25.132799717830494,28.0,25.0
71.5,25.09414314525202,28.0,25.0
72.0,25.119914193637673,28.0,25.0
72.5,25.09414314525202,28.0,25.0
73.0,25.055486572673548,28.0,25.0
73.5,25.09414314525202,28.0,25.0
74.0,25.055486572673548,28.0,25.0
74.5,25.042601048480716,28.0,25.0
75.0,25.042601048480716,28.0,25.0
75.5,25.01683000009507,28.0,25.0
76.0,25.01683000009507,28.0,25.0
76.5,25.01683000009507,28.0,25.0
77.0,25.01683000009507,28.0,25.0
77.5,25.01683000009507,28.0,25.0
78.0,25.01683000009507,28.0,25.0
78.5,25.003944475902244,28.0,25.0
79.0,24.978173427516595,28.0,25.0
79.5,25.055486572673548,28.0,25.0
80.0,25.01683000009507,28.0,25.0
80.5,24.96528790332377,28.0,25.0
81.0,25.042601048480716,28.0,25.0
81.5,25.003944475902244,28.0,25.0
82.0,24.99105895170942,28.0,25.0
82.5,25.029715524287894,28.0,25.0
83.0,25.01683000009507,28.0,25.0
83.5,25.003944475902244,28.0,25.0
84.0,24.978173427516595,28.0,25.0
84.5,25.01683000009507,28.0,25.0
85.0,24.952402379130945,28.0,25.0
85.5,25.042601048480716,28.0,25.0
86.0,24.926631330745295,28.0,25.0
86.5,25.01683000009507,28.0,25.0
87.0,24.926631330745295,28.0,25.0
87.5,25.003944475902244,28.0,25.0
88.0,24.91374580655247,28.0,25.0
88.5,25.01683000009507,28.0,25.0
89.0,24.91374580655247,28.0,25.0
89.5,25.01683000009507,28.0,25.0
90.0,24.88797475816682,28.0,25.0
90.5,25.01683000009507,28.0,25.0
91.0,24.91374580655247,28.0,25.0
91.5,25.01683000009507,28.0,25.0
92.0,24.88797475816682,28.0,25.0
92.5,25.003944475902244,28.0,25.0
93.0,24.88797475816682,28.0,25.0
93.5,25.003944475902244,28.0,25.0
94.0,24.900860282359645,28.0,25.0
94.5,25.003944475902244,28.0,25.0
95.0,24.91374580655247,28.0,25.0
95.5,25.01683000009507,28.0,25.0
96.0,24.91374580655247,28.0,25.0
96.5,25.01683000009507,28.0,25.0
97.0,24.88797475816682,28.0,25.0
97.5,25.01683000009507,28.0,25.0
98.0,24.91374580655247,28.0,25.0
98.5,25.029715524287894,28.0,25.0
99.0,24.88797475816682,28.0,25.0
99.5,25.01683000009507,28.0,25.0
100.0,24.91374580655247,28.0,25.0
100.5,25.01683000009507,28.0,25.0
101.0,24.99105895170942,28.0,25.0
101.5,25.01683000009507,28.0,25.0
102.0,24.93951685493812,28.0,25.0
102.5,25.01683000009507,28.0,25.0
103.0,24.96528790332377,28.0,25.0
103.5,25.01683000009507,28.0,25.0
104.0,24.978173427516595,28.0,25.0
104.5,25.01683000009507,28.0,25.0
105.0,24.96528790332377,28.0,25.0
105.5,25.042601048480716,28.0,25.0
106.0,25.003944475902244,28.0,25.0
106.5,25.003944475902244,28.0,25.0
107.0,25.01683000009507,28.0,25.0
107.5,25.01683000009507,28.0,25.0
108.0,25.01683000009507,28.0,25.0
108.5,25.003944475902244,28.0,25.0
109.0,24.99105895170942,28.0,25.0
109.5,25.055486572673548,28.0,25.0
110.0,25.01683000009507,28.0,25.0
110.5,25.01683000009507,28.0,25.0
111.0,25.029715524287894,28.0,25.0
111.5,25.01683000009507,28.0,25.0
