Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,21.679479234153405,25,20
1.0,21.79544895188883,25,20
1.5,21.834105524467304,25,20
2.0,21.79544895188883,25,20
2.5,21.808334476081654,25,20
3.0,21.82122000027448,25,20
3.5,21.834105524467304,25,20
4.0,21.808334476081654,25,20
4.5,21.859876572852954,25,20
5.0,21.87276209704578,25,20
5.5,21.859876572852954,25,20
6.0,21.859876572852954,25,20
6.5,21.885647621238604,25,20
7.0,21.92430419381708,25,20
7.5,21.911418669624254,25,20
8.0,21.92430419381708,25,20
