Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,21.17694379063323,25,20
1.0,21.292913508368656,25,20
1.5,21.28002798417583,25,20
2.0,21.292913508368656,25,20
2.5,21.318684556754306,25,20
3.0,21.292913508368656,25,20
3.5,21.292913508368656,25,20
4.0,21.318684556754306,25,20
4.5,21.318684556754306,25,20
5.0,21.30579903256148,25,20
5.5,21.292913508368656,25,20
6.0,21.33157008094713,25,20
6.5,21.344455605139956,25,20
7.0,21.344455605139956,25,20
7.5,21.370226653525606,25,20
8.0,21.38311217771843,25,20
8.5,21.40888322610408,25,20
9.0,21.421768750296906,25,20
9.5,21.421768750296906,25,20
10.0,21.40888322610408,25,20
10.5,21.46042532287538,25,20
11.0,21.473310847068205,25,20
11.5,21.447539798682556,25,20
12.0,21.473310847068205,25,20
12.5,21.53773846803233,25,20
13.0,21.524852943839505,25,20
13.5,21.499081895453855,25,23.0
14.0,21.56350951641798,25,23.0
14.5,21.64082266157493,25,23.0
15.0,21.627937137382105,25,23.0
15.5,21.653708185767755,25,23.0
16.0,21.66659370996058,25,23.0
16.5,21.679479234153405,25,23.0
17.0,21.66659370996058,25,23.0
17.5,21.66659370996058,25,23.0
18.0,21.679479234153405,25,23.0
18.5,21.731021330924705,25,23.0
19.0,21.782563427696005,25,23.0
19.5,21.808334476081654,25,23.0
20.0,21.79544895188883,25,23.0
20.5,21.808334476081654,25,23.0
21.0,21.84699104866013,25,23.0
21.5,21.859876572852954,25,23.0
22.0,21.89853314543143,25,23.0
22.5,21.92430419381708,25,23.0
23.0,21.937189718009904,25,23.0
23.5,21.962960766395554,25,23.0
24.0,22.00161733897403,25,23.0
24.5,22.05315943574533,25,23.0
25.0,22.05315943574533,25,23.0
25.5,22.05315943574533,25,23.0
26.0,22.10470153251663,25,23.0
26.5,22.18201467767358,25,23.0
27.0,22.18201467767358,25,23.0
27.5,22.194900201866403,25,23.0
28.0,22.246442298637703,25,23.0
28.5,22.297984395409003,25,23.0
29.0,22.310869919601828,25,23.0
29.5,22.310869919601828,25,23.0
30.0,22.336640967987478,25,23.0
30.5,22.413954113144428,25,23.0
31.0,22.426839637337252,25,23.0
31.5,22.439725161530077,25,23.0
32.0,22.491267258301377,25,23.0
32.5,22.517038306687027,25,23.0
33.0,22.542809355072677,25,23.0
33.5,22.568580403458327,25,23.0
34.0,22.568580403458327,25,23.0
34.5,22.620122500229627,25,23.0
35.0,22.620122500229627,25,23.0
35.5,22.697435645386577,25,23.0
36.0,22.7103211695794,25,23.0
36.5,22.7103211695794,25,23.0
37.0,22.78763431473635,25,23.0
37.5,22.800519838929176,25,23.0
38.0,22.826290887314826,25,23.0
38.5,22.89071850827895,25,23.0
39.0,22.89071850827895,25,23.0
39.5,22.955146129243076,25,23.0
40.0,22.9680316534359,25,23.0
40.5,22.980917177628726,25,23.0
41.0,23.084001371171325,25,23.0
41.5,22.9680316534359,25,23.0
42.0,23.084001371171325,25,23.0
42.5,23.0711158469785,25,23.0
43.0,23.032459274400026,25,23.0
43.5,23.0711158469785,25,23.0
44.0,23.1226579437498,25,23.0
44.5,23.1226579437498,25,23.0
45.0,23.161314516328275,25,23.0
45.5,23.212856613099575,25,23.0
46.0,23.212856613099575,25,23.0
46.5,23.2257421372924,25,23.0
47.0,23.2257421372924,25,23.0
47.5,23.2257421372924,25,23.0
48.0,23.2772842340637,25,23.0
48.5,23.264398709870875,25,23.0
49.0,23.290169758256525,25,23.0
49.5,23.328826330835,25,20.0
50.0,23.341711855027825,25,20.0
50.5,23.341711855027825,25,20.0
51.0,23.341711855027825,25,20.0
51.5,23.328826330835,25,20.0
52.0,23.341711855027825,21.0,20.0
52.5,23.470567096956074,21.0,20.0
53.0,23.496338145341724,21.0,20.0
53.5,23.50922366953455,21.0,20.0
54.0,23.5349947179202,21.0,20.0
54.5,23.45768157276325,21.0,20.0
55.0,23.4834526211489,21.0,20.0
55.5,23.4834526211489,21.0,20.0
56.0,23.470567096956074,21.0,20.0
56.5,23.4834526211489,21.0,20.0
57.0,23.444796048570424,21.0,20.0
57.5,23.470567096956074,21.0,20.0
58.0,23.470567096956074,21.0,20.0
58.5,23.419025000184774,21.0,20.0
59.0,23.40613947599195,21.0,20.0
59.5,23.40613947599195,21.0,20.0
60.0,23.341711855027825,21.0,20.0
60.5,23.367482903413475,21.0,20.0
61.0,23.341711855027825,21.0,20.0
61.5,23.341711855027825,21.0,20.0
62.0,23.315940806642175,21.0,20.0
62.5,23.238627661485225,21.0,20.0
63.0,23.2257421372924,21.0,20.0
63.5,23.212856613099575,21.0,20.0
64.0,23.14842899213545,21.0,20.0
64.5,23.1742000405211,21.0,20.0
65.0,23.1226579437498,21.0,20.0
65.5,23.084001371171325,21.0,20.0
66.0,23.09688689536415,21.0,20.0
66.5,23.0711158469785,21.0,20.0
67.0,23.04534479859285,21.0,20.0
67.5,23.04534479859285,21.0,20.0
68.0,22.9680316534359,21.0,20.0
68.5,22.955146129243076,21.0,20.0
69.0,22.955146129243076,21.0,20.0
69.5,22.903604032471776,21.0,20.0
