Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,27.10428491933271,25,20
1.0,27.336224354803562,25,20
1.5,27.297567782225084,25,20
2.0,27.271796733839437,25,20
2.5,27.23314016126096,25,20
3.0,27.220254637068138,25,20
3.5,27.207369112875313,25,20
4.0,27.207369112875313,25,20
4.5,27.155827016104013,25,20
5.0,27.142941491911188,25,20
5.5,27.155827016104013,25,20
6.0,27.130055967718363,25,20
6.5,27.065628346754238,25,20
7.0,27.065628346754238,25,20
7.5,27.065628346754238,25,20
8.0,27.078513870947063,25,20
8.5,27.052742822561417,25,20
9.0,27.026971774175763,25,20
9.5,27.001200725790113,25,20
10.0,26.96254415321164,25,20
10.5,26.96254415321164,25,20
11.0,26.949658629018813,25,20
11.5,26.949658629018813,25,20
12.0,26.93677310482599,25,20
12.5,26.93677310482599,25,20
13.0,26.949658629018813,25,20
13.5,26.911002056440335,25,20
14.0,26.859459959669042,25,20
14.5,26.898116532247514,25,20
15.0,26.83368891128339,25,20
15.5,26.84657443547621,25,20
16.0,26.820803387090564,25,20
16.5,26.782146814512085,25,20
17.0,26.820803387090564,25,20
17.5,26.820803387090564,25,20
18.0,26.820803387090564,25,20
18.5,26.80791786289774,25,20
19.0,26.795032338704917,25,20
19.5,26.795032338704917,25,20
20.0,26.75637576612644,25,20
20.5,26.743490241933614,25,20
21.0,26.730604717740793,25,20
21.5,26.730604717740793,25,20
22.0,26.70483366935514,25,20
22.5,26.691948145162314,25,20
23.0,26.691948145162314,25,20
23.5,26.730604717740793,25,20
24.0,26.691948145162314,25,20
24.5,26.70483366935514,25,20
25.0,26.691948145162314,25,20
25.5,26.691948145162314,25,20
26.0,26.743490241933614,25,20
26.5,26.743490241933614,25,20
27.0,26.730604717740793,25,20
27.5,26.70483366935514,25,20
28.0,26.70483366935514,25,20
28.5,26.70483366935514,25,20
29.0,26.67906262096949,25,20
29.5,26.691948145162314,25,20
30.0,26.666177096776668,25,20
30.5,26.691948145162314,25,20
31.0,26.666177096776668,25,20
31.5,26.666177096776668,25,20
32.0,26.614635000005364,25,20
32.5,26.614635000005364,25,20
33.0,26.614635000005364,25,20
33.5,26.563092903234065,25,20
34.0,26.563092903234065,25,20
34.5,26.563092903234065,25,20
35.0,26.563092903234065,25,20
35.5,26.563092903234065,25,20
36.0,26.55020737904124,25,20
36.5,26.537321854848418,25,20
37.0,26.563092903234065,25,20
37.5,26.563092903234065,25,20
38.0,26.537321854848418,25,20
38.5,26.524436330655586,25,20
39.0,26.55020737904124,25,20
39.5,26.485779758077115,25,20
40.0,26.44712318549864,25,20
40.5,26.511550806462765,25,20
41.0,26.49866528226994,25,20
41.5,26.49866528226994,25,20
42.0,26.485779758077115,25,20
42.5,26.472894233884293,25,20
43.0,26.472894233884293,25,20
