Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,25.828618024243045,25,20
1.0,26.099214032292366,25,20
1.5,26.099214032292366,25,20
2.0,26.124985080678016,25,20
2.5,26.11209955648519,25,20
3.0,26.11209955648519,25,20
3.5,26.086328508099545,25,20
4.0,26.086328508099545,25,20
4.5,26.073442983906713,25,20
5.0,26.02190088713542,25,20
5.5,26.073442983906713,25,20
6.0,26.06055745971389,25,20
6.5,26.06055745971389,25,20
7.0,26.06055745971389,25,20
7.5,26.047671935521066,25,20
8.0,26.047671935521066,25,20
8.5,26.047671935521066,25,20
9.0,26.047671935521066,25,20
9.5,26.047671935521066,25,20
10.0,26.047671935521066,25,20
10.5,26.047671935521066,25,20
11.0,26.047671935521066,25,20
11.5,26.047671935521066,25,20
12.0,26.009015362942588,25,20
12.5,26.02190088713542,25,20
13.0,26.009015362942588,25,20
13.5,26.03478641132824,25,20
14.0,26.02190088713542,25,20
14.5,25.996129838749766,25,20
15.0,26.02190088713542,25,20
15.5,26.009015362942588,25,20
16.0,25.957473266171295,25,20
16.5,25.98324431455694,25,20
17.0,25.996129838749766,25,20
17.5,25.98324431455694,25,20
18.0,25.970358790364116,25,20
18.5,25.970358790364116,25,20
19.0,25.93170221778564,25,20
19.5,25.918816693592817,25,20
20.0,25.93170221778564,25,20
20.5,25.918816693592817,24.0,20
21.0,25.89304564520717,24.0,20
21.5,25.918816693592817,24.0,20
22.0,25.918816693592817,24.0,20
22.5,25.90593116939999,24.0,20
23.0,25.918816693592817,24.0,20
23.5,25.867274596821517,24.0,20
24.0,25.90593116939999,24.0,20
24.5,25.918816693592817,24.0,20
25.0,25.828618024243045,24.0,20
25.5,25.89304564520717,24.0,20
26.0,25.854389072628692,24.0,20
26.5,25.854389072628692,24.0,20
27.0,25.828618024243045,24.0,20
27.5,25.841503548435867,24.0,20
28.0,25.815732500050213,24.0,20
28.5,25.841503548435867,24.0,20
29.0,25.867274596821517,24.0,20
29.5,25.815732500050213,24.0,20
30.0,25.802846975857392,24.0,20
30.5,25.802846975857392,24.0,20
31.0,25.815732500050213,24.0,20
31.5,25.815732500050213,24.0,20
32.0,25.815732500050213,24.0,20
32.5,25.854389072628692,24.0,20
33.0,25.802846975857392,24.0,20
33.5,25.802846975857392,24.0,20
34.0,25.828618024243045,24.0,20
34.5,25.828618024243045,24.0,20
35.0,25.854389072628692,24.0,20
35.5,25.867274596821517,24.0,20
36.0,25.867274596821517,24.0,20
36.5,25.89304564520717,24.0,20
37.0,25.90593116939999,24.0,20
37.5,25.90593116939999,29.0,20
38.0,25.75130487908609,29.0,20
38.5,25.777075927471742,29.0,20
39.0,25.76419040327892,29.0,20
39.5,25.76419040327892,29.0,20
40.0,25.777075927471742,29.0,20
40.5,25.789961451664567,29.0,20
41.0,25.802846975857392,29.0,20
41.5,25.789961451664567,29.0,28.0
42.0,25.89304564520717,29.0,28.0
42.5,25.880160121014338,29.0,28.0
43.0,25.90593116939999,29.0,28.0
43.5,25.918816693592817,29.0,28.0
44.0,25.918816693592817,29.0,28.0
44.5,25.944587741978463,29.0,28.0
45.0,25.957473266171295,29.0,28.0
45.5,25.970358790364116,29.0,28.0
46.0,26.009015362942588,29.0,28.0
46.5,26.03478641132824,29.0,28.0
47.0,26.047671935521066,29.0,28.0
47.5,26.047671935521066,29.0,28.0
48.0,26.073442983906713,29.0,28.0
48.5,26.124985080678016,29.0,28.0
49.0,26.176527177449316,29.0,28.0
49.5,26.18941270164214,29.0,28.0
50.0,26.18941270164214,29.0,28.0
50.5,26.24095479841344,29.0,28.0
51.0,26.266725846799087,29.0,28.0
51.5,26.29249689518474,29.0,28.0
52.0,26.305382419377565,29.0,28.0
52.5,26.344038991956044,29.0,28.0
53.0,26.395581088727337,29.0,28.0
53.5,26.42135213711299,29.0,28.0
54.0,26.434237661305815,29.0,28.0
54.5,26.472894233884293,29.0,28.0
55.0,26.49866528226994,29.0,28.0
55.5,26.55020737904124,29.0,28.0
56.0,26.563092903234065,29.0,28.0
56.5,26.563092903234065,29.0,28.0
57.0,26.62752052419819,29.0,28.0
57.5,26.691948145162314,29.0,28.0
58.0,26.730604717740793,29.0,28.0
58.5,26.769261290319264,29.0,28.0
59.0,26.820803387090564,29.0,28.0
59.5,26.83368891128339,29.0,28.0
60.0,26.898116532247514,29.0,28.0
60.5,26.93677310482599,29.0,28.0
61.0,26.949658629018813,29.0,28.0
61.5,26.988315201597292,29.0,28.0
62.0,27.039857298368585,29.0,28.0
62.5,27.052742822561417,29.0,28.0
63.0,27.078513870947063,29.0,28.0
63.5,27.11717044352554,29.0,28.0
64.0,27.181598064489666,29.0,28.0
64.5,27.207369112875313,29.0,28.0
65.0,27.220254637068138,29.0,28.0
65.5,27.258911209646612,29.0,28.0
66.0,27.323338830610737,29.0,28.0
66.5,27.336224354803562,29.0,28.0
67.0,27.37488092738204,29.0,28.0
67.5,27.439308548346165,29.0,28.0
