Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.800519838929176,25,20
1.0,22.852061935700476,25,20
1.5,22.83917641150765,25,20
2.0,22.83917641150765,25,20
2.5,22.8649474598933,25,20
3.0,22.8649474598933,25,20
3.5,22.852061935700476,25,20
4.0,22.83917641150765,25,20
4.5,22.83917641150765,25,20
5.0,22.89071850827895,25,20
5.5,22.83917641150765,25,20
6.0,22.89071850827895,25,20
6.5,22.903604032471776,25,20
7.0,22.9164895566646,25,20
7.5,22.94226060505025,25,20
8.0,22.94226060505025,25,20
8.5,22.929375080857426,25,20
9.0,22.929375080857426,25,20
9.5,22.9164895566646,25,20
10.0,22.94226060505025,25,20
10.5,22.955146129243076,25,20
11.0,22.955146129243076,25,20
11.5,22.9680316534359,25,20
12.0,22.980917177628726,25,20
12.5,22.980917177628726,25,20
13.0,22.955146129243076,25,20
13.5,23.0195737502072,25,20
14.0,23.032459274400026,25,20
14.5,23.04534479859285,25,20
15.0,23.032459274400026,25,20
