Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.02738838735968,25,20
1.0,22.169129153480753,25,20
1.5,22.169129153480753,25,20
2.0,22.169129153480753,25,20
2.5,22.18201467767358,25,20
3.0,22.143358105095103,25,20
3.5,22.169129153480753,25,20
4.0,22.18201467767358,25,20
4.5,22.15624362928793,25,20
5.0,22.18201467767358,25,20
5.5,22.169129153480753,25,20
6.0,22.18201467767358,25,20
6.5,22.194900201866403,25,20
7.0,22.18201467767358,25,20
7.5,22.194900201866403,25,20
8.0,22.207785726059228,25,20
8.5,22.194900201866403,25,20
9.0,22.207785726059228,25,20
9.5,22.207785726059228,25,20
10.0,22.233556774444878,25,20
10.5,22.272213347023353,25,20
11.0,22.220671250252053,25,20
11.5,22.310869919601828,25,20
12.0,22.297984395409003,25,20
12.5,22.285098871216178,25,20
13.0,22.310869919601828,25,20
13.5,22.310869919601828,25,20
14.0,22.310869919601828,25,20
14.5,22.323755443794653,25,20
15.0,22.336640967987478,25,20
15.5,22.362412016373128,25,20
16.0,22.375297540565953,25,20
16.5,22.388183064758778,25,20
17.0,22.388183064758778,30.0,20
17.5,22.426839637337252,30.0,20
18.0,22.439725161530077,30.0,20
18.5,22.439725161530077,30.0,20
19.0,22.452610685722902,30.0,20
19.5,22.452610685722902,30.0,20
20.0,22.478381734108552,30.0,26.0
20.5,22.568580403458327,30.0,26.0
21.0,22.594351451843977,30.0,26.0
21.5,22.594351451843977,30.0,26.0
22.0,22.620122500229627,30.0,26.0
22.5,22.671664597000927,30.0,26.0
23.0,22.68455012119375,30.0,26.0
23.5,22.697435645386577,30.0,26.0
24.0,22.7103211695794,30.0,26.0
24.5,22.73609221796505,30.0,26.0
25.0,22.73609221796505,30.0,26.0
25.5,22.813405363122,30.0,26.0
26.0,22.813405363122,30.0,26.0
26.5,22.826290887314826,30.0,26.0
27.0,22.83917641150765,30.0,26.0
27.5,22.877832984086126,30.0,26.0
28.0,22.929375080857426,30.0,26.0
28.5,22.9164895566646,30.0,26.0
29.0,22.94226060505025,30.0,26.0
29.5,22.980917177628726,30.0,26.0
30.0,22.9680316534359,30.0,26.0
30.5,23.04534479859285,30.0,26.0
31.0,23.084001371171325,30.0,26.0
31.5,23.084001371171325,30.0,26.0
32.0,23.109772419556975,30.0,26.0
32.5,23.1226579437498,30.0,26.0
33.0,23.187085564713925,30.0,26.0
33.5,23.212856613099575,30.0,26.0
34.0,23.238627661485225,30.0,26.0
34.5,23.290169758256525,30.0,26.0
35.0,23.328826330835,30.0,26.0
35.5,23.341711855027825,30.0,26.0
36.0,23.35459737922065,30.0,26.0
36.5,23.3803684276063,30.0,26.0
37.0,23.45768157276325,30.0,26.0
37.5,23.470567096956074,30.0,26.0
38.0,23.470567096956074,30.0,26.0
38.5,23.50922366953455,30.0,26.0
39.0,23.599422338884324,30.0,26.0
39.5,23.599422338884324,30.0,26.0
40.0,23.625193387269974,30.0,26.0
40.5,23.66384995984845,30.0,26.0
41.0,23.71539205661975,30.0,26.0
41.5,23.71539205661975,30.0,26.0
42.0,23.779819677583873,30.0,26.0
42.5,23.831361774355173,30.0,26.0
43.0,23.844247298547998,30.0,26.0
43.5,23.882903871126473,30.0,26.0
44.0,23.908674919512123,30.0,26.0
44.5,23.947331492090598,30.0,26.0
45.0,23.985988064669073,30.0,26.0
45.5,23.998873588861898,30.0,26.0
46.0,24.037530161440372,30.0,26.0
46.5,24.114843306597322,30.0,26.0
47.0,24.114843306597322,30.0,26.0
47.5,24.114843306597322,30.0,26.0
48.0,24.140614354982972,30.0,26.0
48.5,24.166385403368622,30.0,26.0
49.0,24.217927500139922,30.0,26.0
49.5,24.230813024332747,30.0,26.0
50.0,24.256584072718397,30.0,26.0
50.5,24.243698548525572,30.0,26.0
51.0,24.29524064529687,30.0,26.0
51.5,24.37255379045382,30.0,26.0
52.0,24.37255379045382,30.0,26.0
52.5,24.39832483883947,30.0,26.0
53.0,24.411210363032296,30.0,26.0
53.5,24.47563798399642,30.0,26.0
54.0,24.50140903238207,30.0,26.0
54.5,24.50140903238207,30.0,26.0
55.0,24.50140903238207,30.0,26.0
55.5,24.55295112915337,30.0,26.0
56.0,24.57872217753902,30.0,26.0
56.5,24.60449322592467,30.0,26.0
57.0,24.63026427431032,30.0,26.0
57.5,24.643149798503146,30.0,26.0
58.0,24.68180637108162,30.0,26.0
58.5,24.668920846888795,30.0,26.0
59.0,24.70757741946727,30.0,26.0
59.5,24.746233992045745,30.0,26.0
60.0,24.75911951623857,30.0,26.0
60.5,24.772005040431395,30.0,26.0
61.0,24.81066161300987,30.0,26.0
61.5,24.83643266139552,30.0,26.0
62.0,24.88797475816682,30.0,26.0
62.5,24.88797475816682,30.0,26.0
63.0,24.900860282359645,30.0,26.0
63.5,24.93951685493812,30.0,26.0
64.0,24.952402379130945,30.0,26.0
64.5,25.01683000009507,30.0,26.0
65.0,25.029715524287894,30.0,26.0
65.5,25.029715524287894,30.0,26.0
66.0,25.042601048480716,30.0,26.0
66.5,25.119914193637673,30.0,26.0
67.0,25.119914193637673,30.0,26.0
67.5,25.14568524202332,30.0,26.0
68.0,25.158570766216144,30.0,26.0
68.5,25.158570766216144,30.0,26.0
69.0,25.210112862987444,30.0,26.0
69.5,25.248769435565922,30.0,26.0
70.0,25.27454048395157,30.0,26.0
70.5,25.27454048395157,30.0,26.0
71.0,25.287426008144394,30.0,26.0
71.5,25.300311532337215,30.0,26.0
72.0,25.390510201686993,30.0,26.0
72.5,25.390510201686993,30.0,26.0
73.0,25.403395725879818,30.0,26.0
73.5,25.416281250072643,30.0,26.0
74.0,25.429166774265465,30.0,26.0
74.5,25.454937822651118,30.0,26.0
75.0,25.49359439522959,30.0,26.0
75.5,25.519365443615243,30.0,26.0
76.0,25.480708871036768,30.0,26.0
76.5,25.532250967808068,30.0,26.0
77.0,25.519365443615243,30.0,26.0
77.5,25.545136492000893,30.0,26.0
78.0,25.558022016193714,30.0,26.0
78.5,25.596678588772193,30.0,26.0
79.0,25.62244963715784,30.0,26.0
79.5,25.62244963715784,30.0,26.0
80.0,25.648220685543492,30.0,26.0
80.5,25.661106209736317,30.0,26.0
81.0,25.673991733929142,30.0,26.0
81.5,25.686877258121964,30.0,26.0
82.0,25.686877258121964,30.0,26.0
82.5,25.699762782314796,30.0,26.0
83.0,25.738419354893267,30.0,26.0
83.5,25.777075927471742,30.0,26.0
84.0,25.789961451664567,30.0,26.0
84.5,25.777075927471742,30.0,26.0
85.0,25.802846975857392,30.0,26.0
85.5,25.802846975857392,30.0,26.0
86.0,25.841503548435867,30.0,26.0
86.5,25.854389072628692,30.0,26.0
87.0,25.828618024243045,30.0,26.0
87.5,25.854389072628692,30.0,26.0
88.0,25.854389072628692,30.0,26.0
88.5,25.918816693592817,30.0,26.0
89.0,25.89304564520717,30.0,26.0
89.5,25.89304564520717,30.0,26.0
90.0,25.93170221778564,30.0,26.0
90.5,25.93170221778564,30.0,26.0
91.0,25.957473266171295,30.0,26.0
91.5,26.02190088713542,30.0,26.0
92.0,25.918816693592817,30.0,26.0
92.5,26.047671935521066,30.0,26.0
93.0,25.944587741978463,30.0,26.0
93.5,26.047671935521066,30.0,26.0
94.0,26.02190088713542,30.0,26.0
94.5,26.009015362942588,30.0,26.0
95.0,26.009015362942588,30.0,26.0
95.5,26.03478641132824,30.0,26.0
96.0,26.03478641132824,30.0,26.0
96.5,26.047671935521066,30.0,26.0
97.0,26.047671935521066,30.0,26.0
97.5,26.047671935521066,30.0,26.0
98.0,26.047671935521066,30.0,26.0
98.5,26.047671935521066,30.0,26.0
