Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,23.058230322785676,25,20
1.0,23.161314516328275,25,20
1.5,23.187085564713925,25,20
2.0,23.135543467942625,25,20
2.5,23.161314516328275,25,20
3.0,23.187085564713925,25,20
3.5,23.187085564713925,25,20
4.0,23.14842899213545,25,20
4.5,23.187085564713925,25,20
5.0,23.19997108890675,25,20
5.5,23.1742000405211,25,20
6.0,23.187085564713925,25,20
6.5,23.212856613099575,25,20
7.0,23.212856613099575,25,20
7.5,23.212856613099575,25,20
8.0,23.212856613099575,25,20
8.5,23.2257421372924,25,20
9.0,23.212856613099575,25,20
9.5,23.2257421372924,25,20
10.0,23.264398709870875,25,20
10.5,23.25151318567805,25,20
11.0,23.25151318567805,25,20
11.5,23.264398709870875,25,20
12.0,23.328826330835,25,20
12.5,23.328826330835,25,20
13.0,23.341711855027825,25,20
13.5,23.341711855027825,25,20
14.0,23.341711855027825,25,20
14.5,23.341711855027825,25,20
15.0,23.341711855027825,25,20
15.5,23.341711855027825,25,20
16.0,23.341711855027825,25,20
16.5,23.341711855027825,25,20
17.0,23.3803684276063,25,20
17.5,23.367482903413475,25,20
18.0,23.40613947599195,25,20
18.5,23.35459737922065,25,20
19.0,23.393253951799124,25,20
19.5,23.444796048570424,25,20
20.0,23.444796048570424,25,20
20.5,23.444796048570424,25,20
21.0,23.470567096956074,25,20
21.5,23.45768157276325,25,20
22.0,23.45768157276325,25,20
22.5,23.470567096956074,25,20
23.0,23.45768157276325,25,20
23.5,23.470567096956074,25,20
24.0,23.470567096956074,25,20
24.5,23.470567096956074,25,20
25.0,23.4834526211489,25,20
25.5,23.496338145341724,25,20
26.0,23.4834526211489,30.0,20
26.5,23.4834526211489,30.0,20
27.0,23.5349947179202,30.0,20
27.5,23.5349947179202,30.0,20
28.0,23.5349947179202,30.0,20
28.5,23.56076576630585,30.0,20
29.0,23.573651290498674,30.0,20
29.5,23.5349947179202,30.0,20
30.0,23.599422338884324,30.0,26.0
30.5,23.66384995984845,30.0,26.0
31.0,23.676735484041274,30.0,26.0
31.5,23.66384995984845,30.0,26.0
32.0,23.66384995984845,30.0,26.0
32.5,23.702506532426924,30.0,26.0
33.0,23.71539205661975,30.0,26.0
33.5,23.728277580812573,30.0,26.0
34.0,23.6896210082341,30.0,26.0
34.5,23.71539205661975,30.0,26.0
35.0,23.728277580812573,30.0,26.0
35.5,23.7411631050054,30.0,26.0
36.0,23.754048629198223,30.0,26.0
36.5,23.818476250162348,30.0,26.0
37.0,23.844247298547998,30.0,26.0
37.5,23.831361774355173,30.0,26.0
38.0,23.857132822740823,30.0,26.0
38.5,23.857132822740823,30.0,26.0
39.0,23.895789395319298,30.0,26.0
39.5,23.947331492090598,30.0,26.0
40.0,23.973102540476248,30.0,26.0
40.5,23.985988064669073,30.0,26.0
41.0,24.011759113054723,30.0,26.0
41.5,25.029715524287894,30.0,26.0
42.0,25.081257621059194,30.0,26.0
42.5,25.09414314525202,30.0,26.0
