Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.7103211695794,25,20
1.0,22.89071850827895,25,20
1.5,22.8649474598933,25,20
2.0,22.903604032471776,25,20
2.5,22.9164895566646,25,20
3.0,22.903604032471776,25,20
3.5,22.89071850827895,25,20
4.0,22.929375080857426,25,20
4.5,22.903604032471776,25,20
5.0,22.94226060505025,25,20
5.5,22.94226060505025,25,20
6.0,22.955146129243076,25,20
6.5,22.955146129243076,25,20
7.0,22.955146129243076,25,20
7.5,22.955146129243076,25,20
8.0,22.955146129243076,25,20
8.5,22.955146129243076,25,20
9.0,22.9680316534359,25,20
9.5,22.980917177628726,20.0,20
10.0,23.238627661485225,20.0,20
10.5,23.2257421372924,20.0,20
11.0,23.238627661485225,20.0,20
11.5,23.25151318567805,20.0,20
12.0,23.264398709870875,20.0,20
12.5,23.290169758256525,20.0,20
13.0,23.2772842340637,20.0,20
13.5,23.2772842340637,20.0,20
14.0,23.25151318567805,20.0,20
14.5,23.290169758256525,20.0,20
15.0,23.25151318567805,20.0,20
15.5,23.2772842340637,20.0,20
16.0,23.328826330835,20.0,20
16.5,23.315940806642175,20.0,20
17.0,23.328826330835,20.0,20
17.5,23.328826330835,20.0,20
18.0,23.341711855027825,20.0,20
18.5,23.328826330835,20.0,20
19.0,23.328826330835,20.0,20
19.5,23.30305528244935,20.0,20
20.0,23.328826330835,25.0,20
20.5,23.084001371171325,25.0,20
21.0,23.084001371171325,25.0,20
21.5,23.084001371171325,25.0,20
22.0,23.084001371171325,25.0,20
22.5,23.0711158469785,25.0,20
23.0,23.09688689536415,25.0,20
23.5,23.09688689536415,25.0,20
24.0,23.084001371171325,25.0,20
24.5,23.084001371171325,25.0,20
25.0,23.084001371171325,25.0,20
25.5,23.09688689536415,25.0,20
26.0,23.09688689536415,25.0,20
26.5,23.09688689536415,25.0,20
27.0,23.109772419556975,25.0,20
27.5,23.135543467942625,25.0,20
28.0,23.135543467942625,25.0,20
28.5,23.14842899213545,25.0,20
29.0,23.187085564713925,25.0,20
29.5,23.187085564713925,25.0,20
30.0,23.19997108890675,25.0,20
30.5,23.19997108890675,25.0,20
31.0,23.19997108890675,25.0,20
31.5,23.212856613099575,25.0,20
32.0,23.212856613099575,25.0,20
32.5,23.2257421372924,25.0,20
33.0,23.2257421372924,25.0,20
33.5,23.2257421372924,25.0,20
34.0,23.2257421372924,25.0,20
34.5,23.264398709870875,25.0,20
35.0,23.2772842340637,25.0,20
35.5,23.30305528244935,25.0,20
36.0,23.341711855027825,25.0,20
36.5,23.328826330835,25.0,20
37.0,23.341711855027825,25.0,20
