Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,15.587213587379185,25,20
1.0,19.27725998139001,25,20
1.5,19.519061388498795,25,20
2.0,19.88372246507242,25,20
2.5,20.007644288595934,25,20
3.0,20.143888249500296,25,20
3.5,20.083998167103456,25,20
4.0,20.05234180612048,25,20
4.5,20.12557288958361,25,20
5.0,20.18138063865842,25,20
5.5,20.22478171057386,25,20
6.0,20.397135779336768,25,20
6.5,20.570858346605352,25,20
7.0,20.590840802942452,25,20
7.5,20.493873386349893,25,20
8.0,20.312632568028263,25,20
8.5,20.176083055273143,25,20
9.0,20.33697770343111,25,20
9.5,20.371050560079095,25,20
10.0,20.31830834122875,25,20
10.5,20.37517399363016,25,20
11.0,20.349294396020017,25,20
11.5,20.16769296414504,25,20
12.0,20.246890347709176,25,20
12.5,20.18125629576227,25,20
13.0,20.24666950222086,25,20
13.5,20.44370983763353,25,20
14.0,20.43858133711985,25,20
14.5,20.407820246010544,25,20
15.0,20.22605214011116,25,20
15.5,20.401480712294706,25,20
16.0,20.572687853382593,25,20
16.5,20.56220444404501,25,20
17.0,20.674374761296274,25,20
17.5,20.525478124575354,25,20
18.0,20.571136309038533,25,20
18.5,20.513753954480514,25,20
19.0,20.663272773856406,25,20
19.5,20.58457408873538,25,20
