Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.568580403458327,25,20
1.0,22.7103211695794,25,20
1.5,22.73609221796505,25,20
2.0,22.723206693772227,25,20
2.5,22.723206693772227,25,20
3.0,22.7618632663507,25,20
3.5,22.723206693772227,25,20
4.0,22.7618632663507,25,20
4.5,22.73609221796505,25,20
5.0,22.774748790543526,25,20
5.5,22.78763431473635,25,20
6.0,22.78763431473635,25,20
6.5,22.826290887314826,25,20
7.0,22.813405363122,25,20
7.5,22.813405363122,25,20
8.0,22.813405363122,25,20
8.5,22.813405363122,25,20
9.0,22.826290887314826,25,20
9.5,22.826290887314826,25,20
10.0,22.826290887314826,25,20
10.5,22.83917641150765,25,20
11.0,22.826290887314826,25,20
11.5,22.83917641150765,25,20
12.0,22.852061935700476,25,20
12.5,22.877832984086126,25,20
13.0,22.8649474598933,25,20
13.5,22.955146129243076,25,20
14.0,22.94226060505025,25,20
14.5,22.955146129243076,25,20
15.0,22.94226060505025,25,20
15.5,22.955146129243076,25,20
16.0,22.9680316534359,25,20
16.5,22.9680316534359,25,20
17.0,22.9680316534359,25,20
17.5,23.006688226014376,25,20
18.0,23.0195737502072,25,20
18.5,23.04534479859285,25,20
19.0,23.0711158469785,25,20
19.5,23.084001371171325,25,20
20.0,23.084001371171325,25,20
20.5,23.09688689536415,25,20
21.0,23.084001371171325,20.1,20
21.5,23.341711855027825,20.1,20
22.0,23.35459737922065,20.1,20
22.5,23.367482903413475,20.1,20
23.0,23.35459737922065,20.1,20
23.5,23.315940806642175,20.1,20
24.0,23.290169758256525,20.1,20
24.5,23.40613947599195,20.1,20
25.0,23.3803684276063,20.1,20
25.5,23.3803684276063,20.1,20
26.0,23.367482903413475,20.1,20
26.5,23.35459737922065,20.1,20
27.0,23.30305528244935,20.1,20
27.5,23.341711855027825,20.1,20
28.0,23.35459737922065,20.1,20
28.5,23.341711855027825,20.1,20
29.0,23.35459737922065,20.1,20
29.5,23.328826330835,20.1,20
30.0,23.341711855027825,20.1,20
30.5,23.328826330835,20.1,20
31.0,23.2772842340637,20.1,20
31.5,23.25151318567805,20.1,20
32.0,23.290169758256525,20.1,20
32.5,23.264398709870875,20.1,20
33.0,23.264398709870875,20.1,20
33.5,23.264398709870875,20.1,20
34.0,23.264398709870875,20.1,20
34.5,23.187085564713925,20.1,20
35.0,23.2257421372924,20.1,20
35.5,23.212856613099575,20.1,20
36.0,23.212856613099575,20.1,20
36.5,23.212856613099575,20.1,20
37.0,23.135543467942625,20.1,20
37.5,23.161314516328275,20.1,20
38.0,23.212856613099575,20.1,20
38.5,23.14842899213545,20.1,20
39.0,23.09688689536415,20.1,20
39.5,23.1226579437498,20.1,20
40.0,23.109772419556975,20.1,20
40.5,23.09688689536415,20.1,20
41.0,23.04534479859285,20.1,20
41.5,23.084001371171325,20.1,20
42.0,23.084001371171325,20.1,20
42.5,23.032459274400026,20.1,20
43.0,23.0711158469785,20.1,20
43.5,23.0711158469785,20.1,20
44.0,23.0711158469785,20.1,20
44.5,23.058230322785676,20.1,20
45.0,23.0195737502072,20.1,20
45.5,23.032459274400026,20.1,20
46.0,22.980917177628726,20.1,20
46.5,22.99380270182155,20.1,20
47.0,22.99380270182155,20.1,20
47.5,22.955146129243076,20.1,20
48.0,22.94226060505025,20.1,20
48.5,22.9680316534359,20.1,20
49.0,22.955146129243076,20.1,20
49.5,22.955146129243076,20.1,20
50.0,22.955146129243076,20.1,20
50.5,22.955146129243076,20.1,20
51.0,22.955146129243076,20.1,20
51.5,22.94226060505025,20.1,20
52.0,22.94226060505025,20.1,20
52.5,22.94226060505025,20.1,20
53.0,22.8649474598933,20.1,20
53.5,22.9164895566646,20.1,20
54.0,22.8649474598933,20.1,20
54.5,22.826290887314826,20.1,20
55.0,22.877832984086126,20.1,20
55.5,22.877832984086126,20.1,20
56.0,22.852061935700476,20.1,20
56.5,22.83917641150765,20.1,20
57.0,22.826290887314826,20.1,20
57.5,22.826290887314826,20.1,20
58.0,22.83917641150765,20.1,20
58.5,22.826290887314826,20.1,20
59.0,22.826290887314826,20.1,20
59.5,22.774748790543526,20.1,20
60.0,22.826290887314826,20.1,20
