Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,24.008606164716184,25,20
1.0,24.111952004022896,25,20
1.5,24.08611554419622,25,20
2.0,24.137788463849574,25,20
2.5,24.099033774109557,25,20
3.0,24.111952004022896,25,20
3.5,24.124870233936235,25,20
4.0,24.124870233936235,25,20
4.5,24.137788463849574,25,20
5.0,24.124870233936235,25,20
5.5,24.137788463849574,25,20
6.0,24.124870233936235,25,20
6.5,24.137788463849574,25,20
7.0,24.150706693762913,25,20
7.5,24.150706693762913,25,20
8.0,24.163624923676252,25,20
8.5,24.163624923676252,25,20
9.0,24.18946138350293,25,20
9.5,24.20237961341627,25,20
10.0,24.228216073242947,25,20
10.5,24.254052533069625,25,20
11.0,24.254052533069625,25,20
11.5,24.266970762982965,25,20
12.0,24.266970762982965,25,20
12.5,24.254052533069625,25,20
13.0,24.266970762982965,25,20
13.5,24.279888992896304,25,20
14.0,24.279888992896304,25,20
14.5,24.292807222809643,25,20
15.0,24.30572545272298,25,20
15.5,24.357398372376338,25,20
16.0,24.383234832203016,25,20
16.5,24.383234832203016,25,20
17.0,24.396153062116355,25,20
17.5,24.396153062116355,25,20
18.0,24.409071292029694,25,20
18.5,24.409071292029694,25,20
19.0,24.409071292029694,25,20
19.5,24.46074421168305,25,20
20.0,24.47366244159639,25,20
20.5,24.499498901423067,25,20
21.0,24.512417131336406,25,20
21.5,24.525335361249745,25,20
22.0,24.525335361249745,25,20
22.5,24.538253591163084,25,20
23.0,24.564090050989762,25,20
23.5,24.538253591163084,25,20
24.0,24.615762970643118,25,20
24.5,24.615762970643118,25,20
25.0,24.615762970643118,25,20
25.5,24.654517660383135,25,20
26.0,24.654517660383135,25,20
26.5,24.654517660383135,25,20
27.0,24.667435890296474,25,20
27.5,24.667435890296474,25,20
28.0,24.693272350123152,25,20
28.5,24.680354120209813,25,20
29.0,24.70619058003649,25,20
29.5,24.757863499689847,25,20
30.0,24.783699959516525,25,20
30.5,24.770781729603186,25,20
31.0,24.796618189429864,25,20
31.5,24.783699959516525,25,20
32.0,24.796618189429864,25,20
32.5,24.796618189429864,25,20
33.0,24.809536419343203,25,20
33.5,24.84829110908322,25,20
34.0,24.84829110908322,25,20
34.5,24.887045798823237,25,20
35.0,24.912882258649915,25,20
35.5,24.912882258649915,25,20
36.0,24.899964028736576,25,20
36.5,24.899964028736576,25,20
37.0,24.912882258649915,25,20
37.5,24.938718718476593,25,20
38.0,24.938718718476593,25,20
38.5,24.951636948389933,25,20
39.0,24.925800488563254,25,20
39.5,25.00330986804329,25,20
40.0,25.10665570735,25,20
40.5,25.158328627003357,25,20
41.0,25.145410397090018,25,20
41.5,25.13249216717668,25,20
42.0,25.13249216717668,25,20
42.5,25.158328627003357,25,20
43.0,25.145410397090018,25,20
43.5,25.09373747743666,25,20
44.0,25.080819247523323,25,20
44.5,25.09373747743666,25,20
45.0,25.080819247523323,25,20
45.5,25.080819247523323,25,20
46.0,25.042064557783306,25,20
46.5,25.029146327869967,25,20
47.0,25.042064557783306,25,20
47.5,25.042064557783306,25,20
48.0,25.042064557783306,25,20
48.5,24.951636948389933,25,20
49.0,24.84829110908322,25,20
49.5,24.887045798823237,25,20
50.0,24.86120933899656,25,20
50.5,24.899964028736576,25,20
51.0,24.912882258649915,25,20
51.5,24.899964028736576,25,20
52.0,24.899964028736576,25,20
52.5,24.899964028736576,25,20
53.0,24.912882258649915,25,20
53.5,24.912882258649915,25,20
54.0,24.912882258649915,25,20
54.5,24.912882258649915,25,20
55.0,24.925800488563254,25,20
55.5,24.925800488563254,25,20
56.0,24.925800488563254,25,20
56.5,24.912882258649915,25,20
57.0,24.938718718476593,25,20
57.5,24.938718718476593,25,20
58.0,24.96455517830327,25,20
58.5,25.00330986804329,25,20
59.0,25.145410397090018,25,20
59.5,25.11957393726334,25,20
60.0,25.145410397090018,25,20
60.5,25.13249216717668,25,20
61.0,25.10665570735,25,20
61.5,25.080819247523323,25,20
62.0,25.054982787696645,25,20
62.5,25.067901017609984,25,20
63.0,25.042064557783306,25,20
63.5,25.054982787696645,25,20
64.0,25.042064557783306,25,20
64.5,25.042064557783306,25,20
65.0,25.042064557783306,25,20
65.5,25.042064557783306,25,20
66.0,25.029146327869967,25,20
66.5,25.00330986804329,25,20
67.0,25.016228097956628,25,20
67.5,24.97747340821661,25,20
68.0,24.84829110908322,25,20
68.5,24.83537287916988,25,20
69.0,24.84829110908322,25,20
69.5,24.84829110908322,25,20
70.0,24.822454649256542,25,20
70.5,24.86120933899656,25,20
71.0,24.86120933899656,25,20
71.5,24.899964028736576,25,20
72.0,24.86120933899656,21.0,20
72.5,25.042064557783306,21.0,20
73.0,25.016228097956628,21.0,20
73.5,24.97747340821661,21.0,20
74.0,25.016228097956628,21.0,20
74.5,24.951636948389933,21.0,20
