Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,22.813405363122,25,20
1.0,22.8649474598933,25,20
1.5,22.8649474598933,25,20
2.0,22.8649474598933,25,20
2.5,22.89071850827895,25,20
3.0,22.8649474598933,25,20
3.5,22.903604032471776,25,20
4.0,22.929375080857426,25,20
4.5,22.903604032471776,25,20
5.0,22.89071850827895,25,20
5.5,22.903604032471776,25,20
6.0,22.929375080857426,25,20
6.5,22.929375080857426,25,20
7.0,22.9164895566646,25,20
7.5,22.955146129243076,25,20
8.0,22.94226060505025,25,20
8.5,22.955146129243076,25,20
9.0,22.9680316534359,25,20
9.5,22.955146129243076,25,20
10.0,22.955146129243076,25,20
10.5,22.955146129243076,25,20
11.0,22.99380270182155,25,20
11.5,22.980917177628726,25,20
12.0,23.032459274400026,25,20
12.5,23.032459274400026,25,20
13.0,23.04534479859285,25,20
13.5,23.058230322785676,25,20
14.0,23.084001371171325,25,20
14.5,23.0711158469785,25,20
15.0,23.084001371171325,25,20
15.5,23.0711158469785,25,20
16.0,23.084001371171325,25,20
16.5,23.109772419556975,25,20
17.0,23.09688689536415,25,20
17.5,23.1226579437498,25,20
18.0,23.135543467942625,25,20
18.5,23.135543467942625,25,20
19.0,23.187085564713925,25,20
19.5,23.212856613099575,25,20
20.0,23.187085564713925,25,20
20.5,23.212856613099575,25,20
21.0,23.212856613099575,25,20
21.5,23.2257421372924,25,20
22.0,23.2257421372924,25,20
22.5,23.25151318567805,29.0,20
23.0,23.238627661485225,29.0,20
23.5,23.290169758256525,29.0,20
24.0,23.315940806642175,29.0,20
24.5,23.30305528244935,29.0,20
25.0,23.315940806642175,29.0,20
25.5,23.341711855027825,29.0,20
26.0,23.341711855027825,29.0,20
26.5,23.341711855027825,29.0,20
27.0,23.35459737922065,29.0,20
27.5,23.35459737922065,29.0,20
28.0,23.3803684276063,29.0,25.0
28.5,23.470567096956074,29.0,25.0
29.0,23.496338145341724,29.0,25.0
29.5,23.470567096956074,29.0,25.0
