Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,20.597095201956108,25,20
1.0,20.635751774534583,25,20
1.5,20.674408347113058,25,20
2.0,20.635751774534583,25,20
2.5,20.661522822920233,25,20
3.0,20.661522822920233,25,20
3.5,20.648637298727408,25,20
4.0,20.700179395498708,25,20
4.5,20.661522822920233,25,20
5.0,20.661522822920233,25,20
5.5,20.687293871305883,25,20
6.0,20.738835968077183,25,20
6.5,20.738835968077183,25,20
7.0,20.764607016462833,25,20
7.5,20.764607016462833,25,20
8.0,20.713064919691533,25,20
8.5,20.764607016462833,25,20
9.0,20.751721492270008,25,20
9.5,20.764607016462833,25,20
10.0,20.764607016462833,25,20
10.5,20.764607016462833,25,20
11.0,20.764607016462833,25,25.0
11.5,20.854805685812607,25,25.0
12.0,20.893462258391082,25,25.0
12.5,20.893462258391082,25,25.0
13.0,20.906347782583907,25,25.0
13.5,20.880576734198257,25,25.0
14.0,20.893462258391082,25,25.0
14.5,20.932118830969557,25,25.0
15.0,20.919233306776732,25,25.0
15.5,20.970775403548032,30.0,25.0
16.0,21.022317500319332,30.0,25.0
16.5,21.022317500319332,30.0,25.0
17.0,21.022317500319332,30.0,25.0
17.5,21.035203024512157,30.0,25.0
18.0,21.060974072897807,30.0,25.0
18.5,21.112516169669107,30.0,25.0
19.0,21.138287218054757,30.0,25.0
19.5,21.15117274224758,30.0,25.0
20.0,21.15117274224758,30.0,25.0
20.5,21.215600363211706,30.0,25.0
21.0,21.22848588740453,30.0,25.0
21.5,21.267142459983006,30.0,25.0
22.0,21.28002798417583,30.0,25.0
22.5,21.30579903256148,30.0,25.0
23.0,21.344455605139956,30.0,25.0
23.5,21.40888322610408,30.0,25.0
24.0,21.40888322610408,30.0,25.0
24.5,21.46042532287538,30.0,25.0
25.0,21.524852943839505,30.0,25.0
25.5,21.524852943839505,30.0,25.0
26.0,21.53773846803233,30.0,25.0
26.5,21.61505161318928,30.0,25.0
27.0,21.58928056480363,30.0,25.0
27.5,21.66659370996058,30.0,25.0
28.0,21.66659370996058,30.0,25.0
28.5,21.66659370996058,30.0,25.0
29.0,21.76967790350318,30.0,25.0
29.5,21.79544895188883,30.0,25.0
30.0,21.79544895188883,30.0,25.0
30.5,21.808334476081654,30.0,25.0
31.0,21.834105524467304,30.0,25.0
31.5,21.89853314543143,30.0,25.0
32.0,21.92430419381708,30.0,25.0
32.5,21.92430419381708,30.0,25.0
33.0,21.962960766395554,30.0,25.0
33.5,22.02738838735968,30.0,25.0
34.0,22.05315943574533,30.0,25.0
34.5,22.05315943574533,30.0,25.0
35.0,22.05315943574533,30.0,25.0
35.5,22.169129153480753,30.0,25.0
36.0,22.18201467767358,30.0,25.0
