Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,23.09688689536415,25,20
1.0,23.212856613099575,25,20
1.5,23.212856613099575,25,20
2.0,23.2257421372924,25,20
2.5,23.212856613099575,25,20
3.0,23.212856613099575,25,20
3.5,23.212856613099575,25,20
4.0,23.212856613099575,25,20
4.5,23.212856613099575,25,20
5.0,23.2257421372924,25,20
5.5,23.238627661485225,25,20
6.0,23.238627661485225,25,20
6.5,23.25151318567805,25,20
7.0,23.25151318567805,25,20
7.5,23.2257421372924,25,20
8.0,23.25151318567805,25,20
8.5,23.2772842340637,25,20
