Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,24.952402379130945,25,20
1.0,25.01683000009507,25,20
1.5,25.184341814601797,25,20
2.0,25.19722733879462,25,20
2.5,25.210112862987444,25,20
3.0,25.184341814601797,25,20
3.5,25.22299838718027,25,20
4.0,25.210112862987444,25,20
4.5,25.210112862987444,25,20
5.0,25.210112862987444,25,20
5.5,25.23588391137309,25,20
6.0,25.261654959758744,25,20
6.5,25.261654959758744,25,20
7.0,25.261654959758744,25,20
7.5,25.261654959758744,25,20
8.0,25.261654959758744,25,20
8.5,25.261654959758744,25,20
9.0,25.27454048395157,25,20
9.5,25.261654959758744,25,20
10.0,25.261654959758744,25,20
10.5,25.248769435565922,25,20
11.0,25.261654959758744,25,20
11.5,25.261654959758744,25,20
12.0,25.23588391137309,25,20
12.5,25.23588391137309,25,20
13.0,25.248769435565922,25,20
13.5,25.184341814601797,25,20
14.0,25.14568524202332,25,20
14.5,25.158570766216144,25,20
15.0,25.171456290408965,25,20
15.5,25.171456290408965,25,20
16.0,25.184341814601797,25,20
16.5,25.14568524202332,25,20
17.0,25.132799717830494,25,20
17.5,25.14568524202332,25,20
18.0,25.14568524202332,25,20
18.5,25.14568524202332,28.0,20
19.0,25.01683000009507,28.0,20
19.5,25.01683000009507,28.0,20
20.0,25.01683000009507,28.0,20
20.5,25.01683000009507,28.0,20
21.0,25.01683000009507,28.0,20
21.5,25.029715524287894,28.0,20
22.0,25.029715524287894,28.0,20
22.5,25.055486572673548,28.0,20
23.0,25.029715524287894,28.0,20
23.5,25.055486572673548,28.0,20
24.0,25.042601048480716,28.0,20
24.5,25.042601048480716,28.0,20
25.0,25.042601048480716,28.0,20
25.5,25.10702866944484,28.0,20
26.0,25.119914193637673,28.0,20
26.5,25.132799717830494,28.0,20
27.0,25.14568524202332,28.0,20
27.5,25.14568524202332,28.0,20
28.0,25.132799717830494,28.0,20
28.5,25.14568524202332,28.0,20
29.0,25.23588391137309,28.0,20
29.5,25.261654959758744,28.0,20
30.0,25.287426008144394,28.0,20
30.5,25.35185362910852,28.0,20
31.0,25.390510201686993,28.0,20
31.5,25.403395725879818,28.0,20
32.0,25.403395725879818,28.0,20
32.5,25.403395725879818,28.0,20
33.0,25.377624677494172,28.0,20
33.5,25.403395725879818,28.0,20
34.0,25.416281250072643,28.0,20
34.5,25.416281250072643,28.0,20
35.0,25.480708871036768,28.0,20
35.5,25.454937822651118,28.0,20
36.0,25.519365443615243,28.0,20
36.5,25.519365443615243,28.0,20
37.0,25.532250967808068,28.0,20
37.5,25.545136492000893,28.0,20
38.0,25.570907540386546,28.0,20
38.5,25.63533516135067,28.0,20
39.0,25.570907540386546,28.0,20
39.5,25.596678588772193,28.0,20
40.0,25.661106209736317,28.0,20
40.5,25.661106209736317,28.0,27.0
41.0,25.712648306507617,28.0,27.0
41.5,25.789961451664567,28.0,27.0
42.0,25.789961451664567,28.0,27.0
42.5,25.802846975857392,28.0,27.0
43.0,25.802846975857392,28.0,27.0
43.5,25.880160121014338,28.0,27.0
44.0,25.918816693592817,28.0,27.0
44.5,25.918816693592817,28.0,27.0
45.0,25.918816693592817,28.0,27.0
45.5,25.944587741978463,28.0,27.0
46.0,25.996129838749766,28.0,27.0
46.5,26.009015362942588,28.0,27.0
47.0,26.047671935521066,28.0,27.0
47.5,26.073442983906713,28.0,27.0
48.0,26.15075612906367,28.0,27.0
48.5,26.176527177449316,28.0,27.0
49.0,26.176527177449316,28.0,27.0
49.5,26.24095479841344,28.0,27.0
50.0,26.27961137099192,28.0,27.0
50.5,26.305382419377565,28.0,27.0
51.0,26.305382419377565,28.0,27.0
51.5,26.31826794357039,28.0,27.0
52.0,26.382695564534515,28.0,27.0
52.5,26.434237661305815,28.0,27.0
53.0,26.46000870969146,28.0,27.0
53.5,26.563092903234065,28.0,27.0
54.0,26.666177096776668,28.0,27.0
54.5,26.691948145162314,28.0,27.0
55.0,26.769261290319264,28.0,27.0
55.5,26.93677310482599,28.0,27.0
56.0,27.078513870947063,28.0,27.0
56.5,27.207369112875313,28.0,27.0
57.0,27.452194072538987,28.0,27.0
57.5,27.59393483866006,28.0,27.0
58.0,27.812988749938082,28.0,27.0
58.5,27.98050056444481,28.0,27.0
59.0,28.10935580637306,28.0,27.0
59.5,28.341295241843913,28.0,27.0
60.0,28.508807056350634,28.0,27.0
60.5,28.59900572570041,28.0,27.0
61.0,28.663433346664537,28.0,27.0
61.5,28.72786096762866,28.0,27.0
62.0,28.753632016014308,28.0,27.0
62.5,28.753632016014308,28.0,27.0
63.0,28.624776774086058,28.0,27.0
63.5,28.49592153215781,28.0,27.0
64.0,28.41860838700086,28.0,27.0
64.5,28.302638669265434,28.0,27.0
65.0,28.23821104830131,28.0,27.0
65.5,28.122241330565885,28.0,27.0
66.0,28.10935580637306,28.0,27.0
66.5,28.006271612830457,28.0,27.0
67.0,27.954729516059164,28.0,27.0
67.5,27.735675604781136,28.0,27.0
68.0,27.72279008058831,28.0,27.0
68.5,27.72279008058831,28.0,27.0
69.0,27.697019032202665,28.0,27.0
69.5,27.697019032202665,28.0,27.0
70.0,27.619705887045708,28.0,27.0
70.5,27.59393483866006,28.0,27.0
71.0,27.59393483866006,28.0,27.0
71.5,27.581049314467236,28.0,27.0
72.0,27.967615040251985,28.0,27.0
72.5,28.392837338615205,28.0,27.0
73.0,28.921143830521036,28.0,27.0
73.5,28.36706629022956,28.0,27.0
74.0,27.89030189509504,28.0,27.0
74.5,27.684133508009833,28.0,27.0
75.0,27.59393483866006,28.0,27.0
75.5,27.59393483866006,28.0,27.0
76.0,27.568163790274415,28.0,27.0
76.5,27.529507217695937,28.0,27.0
77.0,27.477965120924637,28.0,27.0
77.5,27.46507959673181,28.0,27.0
78.0,27.46507959673181,28.0,27.0
